Reporter Identifier,VALUE
GE_BrightCorner,73678.840000
DarkCorner,23.724310
DarkCorner,20.808170
DarkCorner,15.638180
DarkCorner,17.568100
DarkCorner,18.449300
DarkCorner,13.876490
DarkCorner,15.479440
DarkCorner,14.522080
DarkCorner,11.873370
DarkCorner,10.758830
A_24_P66027,28.672470
A_32_P77178,29.034400
A_23_P212522,1230.401000
A_24_P934473,16.534310
A_24_P9671,5141.858000
A_32_P29551,42.359550
A_24_P801451,99.416830
A_32_P30710,35408.400000
A_32_P89523,16.062910
A_24_P704878,8.666559
A_32_P86028,26012.730000
A_24_P470079,12.032250
A_23_P65830,830.344000
A_23_P109143,5776.569000
A_24_P595567,8.418055
A_24_P391591,67.699770
A_24_P799245,0.517069
A_24_P932757,1.644411
A_24_P835500,80.039440
A_23_P54340,10.644490
A_23_P67555,209.778800
A_24_P286412,51.434010
A_24_P229084,7.974039
A_23_P202696,717.852700
A_24_P927716,121.250400
A_23_P124837,81.290210
A_24_P329635,799.964300
AT_D_3,14.281890
A_23_P148439,385.847300
A_23_P137931,1.012872
A_23_P203819,5484.330000
A_32_P198868,3.044463
A_24_P687,1.219235
A_23_P253052,629.543000
A_32_P139302,41.988090
A_23_P201647,1652.589000
A_24_P350557,2.100006
A_23_P146584,439.775900
A_24_P289607,2.668158
A_32_P54289,113.037900
A_23_P77000,64.038670
A_23_P111020,81.732540
A_32_P103558,562.478200
A_32_P235289,7.484555
A_32_P22191,62.213230
A_24_P253251,1415.581000
A_24_P52168,39.558530
A_24_P530900,69.077480
A_23_P391894,8.145965
A_24_P209571,22174.040000
A_24_P148907,57.055900
A_24_P6825,-3.194511
A_23_P149281,552.518900
A_23_P104098,47.429030
A_24_P151920,128.238500
A_24_P252223,599.612200
A_32_P141065,67.703410
A_23_P217015,431.000700
A_32_P188888,41.410460
A_23_P135381,940.859700
A_23_P151294,4.906935
A_32_P149011,112.685800
A_32_P156549,2508.850000
DarkCorner,0.770625
DarkCorner,0.631062
DarkCorner,4.088319
DarkCorner,4.641527
DarkCorner,2.068357
DarkCorner,5.773898
DarkCorner,2.666947
DarkCorner,6.210303
DarkCorner,4.233372
GE_BrightCorner,69374.180000
GE_BrightCorner,74132.360000
GE_BrightCorner,71192.780000
DarkCorner,7.752390
DarkCorner,7.539449
DarkCorner,4.997011
DarkCorner,7.193425
DarkCorner,5.902675
DarkCorner,2.894235
DarkCorner,4.579881
DarkCorner,4.032244
DarkCorner,1.081313
A_23_P215419,15.961910
A_23_P145874,8.324082
AT_ssH_TR_5,21.890630
A_23_P127662,3.882067
A_23_P253029,551.072500
A_32_P125233,18.391220
A_24_P298846,307.426600
A_23_P141315,503.351600
A_23_P87351,6678.705000
AT_ssH_PC_3,1025.215000
A_23_P155677,1324.256000
A_24_P938342,-8.010581
A_24_P131173,-1.966132
A_32_P76091,275.840100
A_24_P50489,11789.370000
A_24_P276932,2632.383000
A_24_P838448,156.758400
A_23_P337746,50.529790
A_23_P216689,580.441100
A_24_P208897,1.217942
A_24_P42557,4.996217
(+)E1A_r60_3,5.627260
A_23_P93295,8.651184
A_24_P926770,597.840400
A_23_P67355,169.832000
A_23_P48487,27.442070
A_23_P204947,31771.770000
A_24_P50738,6.068953
A_24_P624263,3.616351
A_23_P351328,4.845835
A_23_P129829,3494.006000
A_23_P142688,319.184100
A_32_P10665,74.104450
A_23_P53015,115.493900
A_23_P56855,-0.421539
A_32_P184330,1.787175
A_24_P212086,4649.120000
A_24_P373475,-7.342419
A_23_P107597,69.584790
ETG02_36680,-5.888912
A_24_P394940,11.683980
A_24_P912617,4.549564
A_23_P152107,8700.847000
