Reporter Identifier,VALUE
GE_BrightCorner,124012.900000
DarkCorner,-0.909625
DarkCorner,4.533180
DarkCorner,2.792752
DarkCorner,-0.751202
DarkCorner,-1.587032
DarkCorner,-3.458280
DarkCorner,-3.144193
DarkCorner,-4.560811
DarkCorner,-2.503864
DarkCorner,-4.589286
A_24_P66027,58.968450
A_32_P77178,28.275300
A_23_P212522,1160.072000
A_24_P934473,13.510060
A_24_P9671,5934.654000
A_32_P29551,47.002930
A_24_P801451,56.518730
A_32_P30710,30536.660000
A_32_P89523,21.353320
A_24_P704878,19.243840
A_32_P86028,19102.480000
A_24_P470079,18.383130
A_23_P65830,711.206500
A_23_P109143,3802.886000
A_24_P595567,2.945567
A_24_P391591,71.874380
A_24_P799245,-2.538840
A_24_P932757,-2.440993
A_24_P835500,90.297400
A_23_P54340,25.396860
A_23_P67555,285.171300
A_24_P286412,93.840540
A_24_P229084,1.292682
A_23_P202696,482.411300
A_24_P927716,130.113600
A_23_P124837,35.682600
A_24_P329635,1262.491000
AT_D_3,-1.050574
A_23_P148439,578.008500
A_23_P137931,0.120758
A_23_P203819,4653.149000
A_32_P198868,1.727690
A_24_P687,-0.730974
A_23_P253052,812.974300
A_32_P139302,38.997410
A_23_P201647,806.424700
A_24_P350557,-1.669534
A_23_P146584,255.357600
A_24_P289607,-2.996340
A_32_P54289,163.121400
A_23_P77000,100.038700
A_23_P111020,91.539130
A_32_P103558,444.500500
A_32_P235289,22.083690
A_32_P22191,107.043900
A_24_P253251,1195.412000
A_24_P52168,65.759130
A_24_P530900,39.624400
A_23_P391894,12.088510
A_24_P209571,8985.359000
A_24_P148907,446.399700
A_24_P6825,5.764895
A_23_P149281,403.994000
A_23_P104098,245.192200
A_24_P151920,110.724300
A_24_P252223,642.108200
A_32_P141065,146.631100
A_23_P217015,778.059700
A_32_P188888,30.306760
A_23_P135381,909.649300
A_23_P151294,3.894845
A_32_P149011,92.853960
A_32_P156549,2098.110000
DarkCorner,-0.981827
DarkCorner,-0.689334
DarkCorner,-2.611252
DarkCorner,-3.623758
DarkCorner,-0.680079
DarkCorner,1.143239
DarkCorner,-1.154585
DarkCorner,-1.881740
DarkCorner,16.536580
GE_BrightCorner,133047.200000
GE_BrightCorner,121154.500000
GE_BrightCorner,129428.300000
DarkCorner,-2.949319
DarkCorner,3.460000
DarkCorner,3.127402
DarkCorner,-1.183815
DarkCorner,-0.241958
DarkCorner,-2.467081
