Reporter Identifier,VALUE
GE_BrightCorner,112223.100000
DarkCorner,-4.267073
DarkCorner,-5.755717
DarkCorner,-3.113984
DarkCorner,-2.332375
DarkCorner,-6.401628
DarkCorner,-2.860321
DarkCorner,-3.561737
DarkCorner,-0.689391
DarkCorner,-4.539840
DarkCorner,-5.344468
A_24_P66027,37.692380
A_32_P77178,18.411300
A_23_P212522,1493.115000
A_24_P934473,4.861647
A_24_P9671,7853.708000
A_32_P29551,51.656390
A_24_P801451,59.758560
A_32_P30710,35750.160000
A_32_P89523,24.914100
A_24_P704878,18.929510
A_32_P86028,26949.680000
A_24_P470079,15.005910
A_23_P65830,771.235200
A_23_P109143,3520.442000
A_24_P595567,-1.045201
A_24_P391591,39.961550
A_24_P799245,-2.119226
A_24_P932757,-9.534854
A_24_P835500,116.839400
A_23_P54340,24.636560
A_23_P67555,287.592300
A_24_P286412,53.497660
A_24_P229084,2.358104
A_23_P202696,501.419500
A_24_P927716,118.158400
A_23_P124837,39.097590
A_24_P329635,973.699600
AT_D_3,-2.523929
A_23_P148439,461.171400
A_23_P137931,-1.989500
A_23_P203819,4951.743000
A_32_P198868,4.990286
A_24_P687,5.469375
A_23_P253052,794.954300
A_32_P139302,47.494710
A_23_P201647,961.308900
A_24_P350557,-4.811694
A_23_P146584,295.574700
A_24_P289607,-3.037033
A_32_P54289,128.843500
A_23_P77000,92.755610
A_23_P111020,96.189050
A_32_P103558,586.758100
A_32_P235289,18.784980
A_32_P22191,110.128500
A_24_P253251,1251.208000
A_24_P52168,68.868350
A_24_P530900,48.109350
A_23_P391894,15.131570
A_24_P209571,9977.489000
A_24_P148907,1186.696000
A_24_P6825,4.374765
A_23_P149281,371.682300
A_23_P104098,63.132230
A_24_P151920,95.364480
A_24_P252223,1177.632000
A_32_P141065,110.181800
A_23_P217015,446.164000
A_32_P188888,22.960400
A_23_P135381,1002.751000
A_23_P151294,-1.500624
A_32_P149011,106.772400
A_32_P156549,2024.354000
DarkCorner,-6.345605
DarkCorner,-6.849847
DarkCorner,-3.772497
DarkCorner,-2.557688
DarkCorner,-0.953500
DarkCorner,1.618568
DarkCorner,-4.143941
DarkCorner,-6.572992
DarkCorner,0.437731
GE_BrightCorner,110134.500000
GE_BrightCorner,112829.500000
GE_BrightCorner,119697.600000
DarkCorner,-6.361966
DarkCorner,-4.572544
DarkCorner,-2.302092
DarkCorner,-5.954632
DarkCorner,-2.745444
DarkCorner,-2.497874
DarkCorner,-3.145385
DarkCorner,-0.983354
DarkCorner,-4.270791
A_23_P215419,24.247980
A_23_P145874,4.007985
AT_ssH_TR_5,16.596850
A_23_P127662,40.331380
A_23_P253029,1416.829000
A_32_P125233,18.548590
A_24_P298846,404.928400
A_23_P141315,504.667100
A_23_P87351,7959.867000
AT_ssH_PC_3,971.556100
A_23_P155677,1035.337000
A_24_P938342,-8.734543
A_24_P131173,13.680260
A_32_P76091,216.554300
A_24_P50489,10870.720000
A_24_P276932,862.260000
A_24_P838448,166.318500
A_23_P337746,51.887010
A_23_P216689,614.931300
A_24_P208897,3.636218
A_24_P42557,2.235707
(+)E1A_r60_3,-0.206749
A_23_P93295,11.502340
A_24_P926770,301.372900
A_23_P67355,132.543400
A_23_P48487,65.258470
A_23_P204947,29196.150000
A_24_P50738,4.715080
A_24_P624263,7.723686
A_23_P351328,18.887240
A_23_P129829,5373.183000
A_23_P142688,351.738800
A_32_P10665,68.520980
A_23_P53015,159.070800
A_23_P56855,3.632237
A_32_P184330,5.022786
A_24_P212086,2809.019000
A_24_P373475,-3.669890
A_23_P107597,36.336020
ETG02_36680,-3.813376
A_24_P394940,7.683082
A_24_P912617,-2.082768
A_23_P152107,7027.877000
A_23_P97584,5345.494000
A_32_P146113,-2.135803
(+)E1A_r60_a97,16899.550000
A_24_P305467,1064.489000
A_23_P426140,236.500200
A_24_P356721,13003.870000
A_23_P356755,6307.344000
A_23_P379550,425.899000
A_23_P345710,318.557200
A_24_P719096,-1.203756
A_24_P343233,648.309400
A_23_P408787,-7.170366
A_23_P344655,-0.588374
A_23_P350678,3.961192
A_23_P397933,6.609066
A_23_P145024,1540.373000
A_24_P104115,107.909600
A_23_P433829,67.677640
A_23_P110846,710.047900
A_24_P910381,18.671870
A_23_P110699,19.455500
DarkCorner,-7.127615
DarkCorner,-6.574954
DarkCorner,-5.445212
DarkCorner,-2.486033
DarkCorner,-4.046883
DarkCorner,-6.292909
DarkCorner,-1.809015
DarkCorner,-3.318510
DarkCorner,-0.701384
DarkCorner,-2.303188
GE_BrightCorner,106418.600000
DarkCorner,-4.140058
DarkCorner,-6.988516
DarkCorner,-4.816129
DarkCorner,-7.714966
DarkCorner,-4.245430
DarkCorner,-7.422609
DarkCorner,-1.994119
DarkCorner,-2.279809
DarkCorner,-4.389953
DarkCorner,-7.964058
A_23_P60811,2.116132
A_23_P112327,1.463969
A_24_P344890,7.286549
A_23_P111381,898.988400
A_23_P48414,75.840890
A_32_P3518,-6.335996
A_32_P430743,9.548222
A_24_P405552,289.267000
A_23_P85015,20.557110
A_23_P215604,22.548350
A_23_P369815,30.567170
A_32_P174908,4855.726000
A_23_P47155,231.348900
A_23_P66211,69.986900
A_23_P14986,2316.992000
A_23_P146783,235.557500
A_24_P236008,801.012900
A_24_P228611,4.159356
A_24_P11900,4.488366
A_23_P419038,116.162400
A_23_P335143,6.134665
A_23_P165078,1009.089000
A_23_P104484,3.327950
A_23_P252145,46.693000
A_24_P363134,3.658755
A_23_P315364,53.701590
A_24_P766854,-2.115045
A_23_P200425,258.419700
A_32_P93996,29.608250
A_23_P10561,2.769486
