Reporter Identifier	VALUE
GE_BrightCorner	4.398911e+004
DarkCorner	-4.252477e+000
DarkCorner	-1.184730e+000
DarkCorner	-1.707839e+000
DarkCorner	2.125778e-001
DarkCorner	4.834780e-001
DarkCorner	-3.295072e+000
DarkCorner	-3.722394e-001
DarkCorner	-4.003616e+000
DarkCorner	-2.862327e+000
DarkCorner	-1.090314e+000
A_24_P66027	3.378212e+001
A_32_P77178	6.509993e+001
A_23_P212522	2.352255e+003
A_24_P934473	2.966808e+001
A_24_P9671	7.237561e+003
A_32_P29551	4.850789e+001
A_24_P801451	1.538961e+002
A_32_P30710	4.195492e+004
A_32_P89523	3.667940e+001
A_24_P704878	2.840114e+001
A_32_P86028	3.376465e+004
A_24_P470079	3.980073e+001
A_23_P65830	1.188639e+003
A_23_P109143	8.131626e+003
A_24_P595567	1.703781e+001
A_24_P391591	6.839622e+001
A_24_P799245	8.722090e+000
A_24_P932757	1.081626e+001
A_24_P835500	1.527439e+002
A_23_P54340	2.790097e+001
A_23_P67555	3.092570e+002
A_24_P286412	6.008878e+001
A_24_P229084	1.669139e+001
A_23_P202696	9.484367e+002
A_24_P927716	1.273712e+002
A_23_P124837	1.262357e+002
A_24_P329635	1.102980e+003
AT_D_3	1.501449e+001
A_23_P148439	2.814943e+002
A_23_P137931	1.569438e+001
A_23_P203819	4.701548e+003
A_32_P198868	1.951477e+001
A_24_P687	1.860043e+001
A_23_P253052	7.259284e+002
A_32_P139302	4.263209e+001
A_23_P201647	1.669426e+003
A_24_P350557	1.401409e+001
A_23_P146584	4.588789e+002
A_24_P289607	1.805914e+001
A_32_P54289	9.402686e+001
A_23_P77000	9.427473e+001
A_23_P111020	1.474643e+002
A_32_P103558	8.855925e+002
A_32_P235289	3.106060e+001
A_32_P22191	1.079565e+002
A_24_P253251	2.370409e+003
A_24_P52168	7.416474e+001
A_24_P530900	9.545912e+001
A_23_P391894	2.783996e+001
A_24_P209571	2.360769e+004
A_24_P148907	3.225108e+002
A_24_P6825	1.818790e+001
A_23_P149281	4.993843e+002
A_23_P104098	7.691033e+001
A_24_P151920	1.488884e+002
A_24_P252223	8.088557e+002
A_32_P141065	1.044377e+002
A_23_P217015	4.921942e+002
A_32_P188888	3.093654e+001
A_23_P135381	8.370125e+002
A_23_P151294	1.631211e+001
A_32_P149011	1.195402e+002
A_32_P156549	2.521777e+003
DarkCorner	1.333655e+001
DarkCorner	1.144364e+001
DarkCorner	1.098833e+001
DarkCorner	1.356965e+001
DarkCorner	1.151253e+001
DarkCorner	1.427189e+001
DarkCorner	1.244587e+001
DarkCorner	1.131672e+001
DarkCorner	1.269739e+001
GE_BrightCorner	3.875388e+004
GE_BrightCorner	3.884119e+004
GE_BrightCorner	4.689026e+004
DarkCorner	-1.807108e+000
DarkCorner	-1.480726e+000
DarkCorner	-4.889119e+000
DarkCorner	-1.960221e+000
DarkCorner	-3.385048e+000
DarkCorner	-1.866158e+000
DarkCorner	-3.618959e+000
DarkCorner	-3.100310e+000
DarkCorner	-4.982326e+000
A_23_P215419	4.218076e+001
A_23_P145874	3.878785e+001
AT_ssH_TR_5	7.020770e+001
A_23_P127662	2.914563e+001
A_23_P253029	1.244592e+003
A_32_P125233	3.759867e+001
A_24_P298846	6.978795e+002
A_23_P141315	7.005789e+002
A_23_P87351	7.617759e+003
AT_ssH_PC_3	1.309468e+003
A_23_P155677	1.591395e+003
A_24_P938342	1.571349e+001
A_24_P131173	2.327560e+001
A_32_P76091	3.552872e+002
A_24_P50489	1.518010e+004
A_24_P276932	2.361518e+003
A_24_P838448	1.749504e+002
A_23_P337746	4.610574e+001
A_23_P216689	5.199925e+002
A_24_P208897	2.025563e+001
A_24_P42557	2.640228e+001
(+)E1A_r60_3	2.112086e+001
A_23_P93295	2.162356e+001
A_24_P926770	5.421181e+002
A_23_P67355	2.495129e+002
A_23_P48487	5.525714e+001
A_23_P204947	3.814911e+004
A_24_P50738	1.793739e+001
A_24_P624263	2.746921e+001
A_23_P351328	2.842479e+001
A_23_P129829	4.867816e+003
A_23_P142688	4.070568e+002
A_32_P10665	9.118617e+001
