Reporter Identifier	VALUE
GE_BrightCorner	3.970864e+004
DarkCorner	-7.312773e-001
DarkCorner	-1.463333e+000
DarkCorner	-3.654505e+000
DarkCorner	-3.364403e+000
DarkCorner	-9.553848e-001
DarkCorner	-1.357808e+000
DarkCorner	-6.326214e-001
DarkCorner	9.684923e-001
DarkCorner	6.624348e-001
DarkCorner	-3.157729e+000
A_24_P66027	6.598733e+001
A_32_P77178	2.196134e+001
A_23_P212522	2.091539e+003
A_24_P934473	1.119617e+001
A_24_P9671	5.557458e+003
A_32_P29551	5.549154e+001
A_24_P801451	1.151854e+002
A_32_P30710	4.312313e+004
A_32_P89523	1.492600e+001
A_24_P704878	1.656090e+001
A_32_P86028	3.209488e+004
A_24_P470079	1.901085e+001
A_23_P65830	1.090413e+003
A_23_P109143	6.394694e+003
A_24_P595567	4.819293e-001
A_24_P391591	4.192740e+001
A_24_P799245	-6.959535e+000
A_24_P932757	-6.310358e+000
A_24_P835500	5.987593e+001
A_23_P54340	3.013734e+001
A_23_P67555	2.572081e+002
A_24_P286412	3.293838e+001
A_24_P229084	-9.227087e-001
A_23_P202696	6.884186e+002
A_24_P927716	9.073899e+001
A_23_P124837	8.755012e+001
A_24_P329635	9.528422e+002
AT_D_3	-7.285599e+000
A_23_P148439	3.440728e+002
A_23_P137931	-7.138361e+000
A_23_P203819	5.207581e+003
A_32_P198868	-3.967498e+000
A_24_P687	-4.084344e+000
A_23_P253052	6.635077e+002
A_32_P139302	2.646701e+001
A_23_P201647	1.253399e+003
A_24_P350557	3.102879e+000
A_23_P146584	3.382094e+002
A_24_P289607	5.865937e+000
A_32_P54289	7.712160e+001
A_23_P77000	1.486985e+002
A_23_P111020	1.176500e+002
A_32_P103558	9.567585e+002
A_32_P235289	2.355270e+001
A_32_P22191	1.000507e+002
A_24_P253251	2.150742e+003
A_24_P52168	8.043689e+001
A_24_P530900	5.997840e+001
A_23_P391894	6.182799e+000
A_24_P209571	1.866797e+004
A_24_P148907	3.902464e+002
A_24_P6825	2.865863e+000
A_23_P149281	3.255280e+002
A_23_P104098	7.262386e+001
A_24_P151920	1.128930e+002
A_24_P252223	6.428160e+002
A_32_P141065	1.121562e+002
A_23_P217015	4.558690e+002
A_32_P188888	2.858338e+001
A_23_P135381	8.914652e+002
A_23_P151294	4.021605e-001
A_32_P149011	1.115854e+002
A_32_P156549	2.362234e+003
DarkCorner	-3.710343e+000
DarkCorner	1.032600e+000
DarkCorner	-6.901586e-001
DarkCorner	9.504891e-001
DarkCorner	4.382278e+000
DarkCorner	-2.787318e+000
DarkCorner	-5.487996e+000
DarkCorner	-3.177792e+000
DarkCorner	1.395326e+000
GE_BrightCorner	4.160228e+004
GE_BrightCorner	4.130819e+004
GE_BrightCorner	3.418089e+004
DarkCorner	-3.135059e+000
DarkCorner	2.413928e+000
DarkCorner	-3.613641e+000
DarkCorner	-3.230571e+000
DarkCorner	-1.403276e+000
DarkCorner	-2.733800e+000
DarkCorner	-3.107278e+000
DarkCorner	-3.179879e+000
DarkCorner	-4.793901e+000
A_23_P215419	2.710557e+001
A_23_P145874	3.361305e+000
AT_ssH_TR_5	2.591116e+001
A_23_P127662	3.252744e+001
A_23_P253029	1.556209e+003
A_32_P125233	3.262111e+001
A_24_P298846	6.185570e+002
A_23_P141315	5.557862e+002
A_23_P87351	7.860515e+003
AT_ssH_PC_3	1.256371e+003
A_23_P155677	1.333790e+003
A_24_P938342	-4.541005e+000
A_24_P131173	2.240386e+000
A_32_P76091	1.881044e+002
A_24_P50489	1.300496e+004
A_24_P276932	1.648452e+003
A_24_P838448	1.390618e+002
A_23_P337746	3.632456e+001
A_23_P216689	2.360631e+002
A_24_P208897	2.419976e+000
A_24_P42557	3.750470e+000
(+)E1A_r60_3	8.721616e+000
A_23_P93295	3.668955e+000
A_24_P926770	3.523573e+002
A_23_P67355	1.969601e+002
A_23_P48487	6.124875e+001
A_23_P204947	2.605164e+004
A_24_P50738	-8.757324e-001
A_24_P624263	1.245002e+001
A_23_P351328	1.139074e+001
A_23_P129829	4.710910e+003
A_23_P142688	2.731863e+002
A_32_P10665	5.377526e+001
