Reporter Identifier	VALUE
GE_BrightCorner	9.885760e+004
DarkCorner	-1.099997e+000
DarkCorner	-4.211779e+000
DarkCorner	5.259182e+000
DarkCorner	3.402456e+000
DarkCorner	3.761827e+000
DarkCorner	-1.979887e+000
DarkCorner	-2.107766e+000
DarkCorner	5.210430e+000
DarkCorner	-1.359753e+000
DarkCorner	5.663847e-001
A_24_P66027	3.363800e+002
A_32_P77178	3.095064e+001
A_23_P212522	3.234055e+003
A_24_P934473	3.219309e+001
A_24_P9671	1.775971e+004
A_32_P29551	1.489831e+002
A_24_P801451	1.449697e+002
A_32_P30710	9.162197e+004
A_32_P89523	4.982427e+001
A_24_P704878	4.650477e+001
A_32_P86028	6.364675e+004
A_24_P470079	3.635086e+001
A_23_P65830	2.012927e+003
A_23_P109143	1.369557e+004
A_24_P595567	9.897072e+000
A_24_P391591	1.294837e+002
A_24_P799245	9.552260e-002
A_24_P932757	1.518755e+000
A_24_P835500	4.077096e+002
A_23_P54340	6.390356e+001
A_23_P67555	6.515372e+002
A_24_P286412	1.177186e+002
A_24_P229084	1.032776e+001
A_23_P202696	1.143543e+003
A_24_P927716	2.288383e+002
A_23_P124837	1.150251e+002
A_24_P329635	2.255768e+003
AT_D_3	7.182642e+000
A_23_P148439	6.354970e+002
A_23_P137931	3.754640e+000
A_23_P203819	1.002894e+004
A_32_P198868	1.108930e+001
A_24_P687	-1.456598e+000
A_23_P253052	1.716190e+003
A_32_P139302	9.523409e+001
A_23_P201647	1.948667e+003
A_24_P350557	-3.045646e+000
A_23_P146584	7.471551e+002
A_24_P289607	-1.646870e+000
A_32_P54289	1.767364e+002
A_23_P77000	2.306962e+002
A_23_P111020	1.997080e+002
A_32_P103558	2.229322e+003
A_32_P235289	5.008056e+001
A_32_P22191	2.282882e+002
A_24_P253251	4.194172e+003
A_24_P52168	1.605035e+002
A_24_P530900	1.066706e+002
A_23_P391894	2.148066e+001
A_24_P209571	2.137041e+004
A_24_P148907	1.633710e+003
A_24_P6825	1.820879e+001
A_23_P149281	1.243412e+003
A_23_P104098	1.217485e+002
A_24_P151920	1.944551e+002
A_24_P252223	9.801133e+002
A_32_P141065	2.407010e+002
A_23_P217015	1.036968e+003
A_32_P188888	3.764780e+001
A_23_P135381	1.961868e+003
A_23_P151294	2.733979e+000
A_32_P149011	3.365882e+002
A_32_P156549	4.017688e+003
DarkCorner	1.006908e+000
DarkCorner	-1.126025e-001
DarkCorner	-1.757920e+000
DarkCorner	1.319412e+000
DarkCorner	9.465312e-001
DarkCorner	-5.769027e+000
DarkCorner	5.082564e+000
DarkCorner	5.136035e+000
DarkCorner	-3.803754e+000
GE_BrightCorner	9.385888e+004
GE_BrightCorner	8.998530e+004
GE_BrightCorner	1.029032e+005
DarkCorner	4.264134e+000
DarkCorner	3.136721e+000
DarkCorner	-4.666329e+000
DarkCorner	4.659271e+000
DarkCorner	5.990043e+000
DarkCorner	2.256905e+000
DarkCorner	-3.463328e+000
DarkCorner	5.958144e+000
DarkCorner	-5.807831e-001
A_23_P215419	8.498546e+001
A_23_P145874	7.232051e+001
AT_ssH_TR_5	5.950601e+001
A_23_P127662	9.723901e+001
A_23_P253029	3.546634e+003
A_32_P125233	3.901925e+001
A_24_P298846	9.503124e+002
A_23_P141315	1.234999e+003
A_23_P87351	1.629816e+004
AT_ssH_PC_3	2.855038e+003
A_23_P155677	2.395419e+003
A_24_P938342	5.977986e+000
A_24_P131173	3.093875e+001
A_32_P76091	5.633212e+002
A_24_P50489	2.441809e+004
A_24_P276932	2.122022e+003
A_24_P838448	5.082543e+002
A_23_P337746	1.124157e+002
A_23_P216689	1.110894e+003
A_24_P208897	2.815093e+001
A_24_P42557	2.415649e+001
(+)E1A_r60_3	1.909206e+001
A_23_P93295	2.797723e+001
A_24_P926770	4.414778e+002
A_23_P67355	3.003180e+002
A_23_P48487	1.327823e+002
A_23_P204947	7.382117e+004
A_24_P50738	1.242220e+001
A_24_P624263	3.618079e+001
A_23_P351328	3.846394e+001
A_23_P129829	8.736998e+003
A_23_P142688	7.171130e+002
A_32_P10665	1.404866e+002
A_23_P53015	2.447691e+002
A_23_P56855	3.182810e+001
A_32_P184330	2.728692e+001
A_24_P212086	8.910268e+003
A_24_P373475	-5.607653e+000
A_23_P107597	8.446612e+001
ETG02_36680	7.260331e+000
A_24_P394940	1.810720e+001
A_24_P912617	5.491424e+000
A_23_P152107	1.534803e+004
A_23_P97584	1.208242e+004
A_32_P146113	1.277318e+001
(+)E1A_r60_a97	3.558711e+004
A_24_P305467	2.298000e+003
A_23_P426140	4.400188e+002
A_24_P356721	3.390591e+004
A_23_P356755	1.457325e+004
A_23_P379550	1.337303e+003
A_23_P345710	6.822204e+002
A_24_P719096	2.005741e+001
A_24_P343233	1.388970e+003
A_23_P408787	-1.408123e+000
A_23_P344655	1.001465e+001
A_23_P350678	1.582974e+000
A_23_P397933	7.221667e+000
A_23_P145024	3.610656e+003
A_24_P104115	5.994232e+002
A_23_P433829	2.233578e+002
A_23_P110846	1.966048e+003
A_24_P910381	1.093649e+002
A_23_P110699	9.506753e+001
DarkCorner	-5.124024e+000
DarkCorner	-1.244388e-001
DarkCorner	-2.160080e-001
DarkCorner	-1.497785e+000
DarkCorner	-5.092595e+000
DarkCorner	-1.373983e+000
DarkCorner	2.532483e+000
DarkCorner	3.540236e+000
DarkCorner	-2.728923e+000
DarkCorner	-2.232958e+000
GE_BrightCorner	8.857049e+004
DarkCorner	5.743999e+000
DarkCorner	-7.766572e+000
DarkCorner	1.448253e+000
DarkCorner	-4.849840e+000
DarkCorner	-5.509437e+000
DarkCorner	5.215617e+000
DarkCorner	2.189897e+000
DarkCorner	-3.021770e+000
DarkCorner	1.856054e-001
DarkCorner	2.373616e+000
A_23_P60811	1.299507e+001
A_23_P112327	1.467788e+001
A_24_P344890	3.127341e+001
A_23_P111381	2.106873e+003
A_23_P48414	1.803537e+002
A_32_P3518	1.357402e+001
A_32_P430743	3.496512e+001
A_24_P405552	8.462539e+002
A_23_P85015	4.362064e+001
A_23_P215604	6.662143e+001
A_23_P369815	7.351038e+001
A_32_P174908	8.424352e+003
A_23_P47155	7.939695e+002
A_23_P66211	1.352347e+002
A_23_P14986	4.327809e+003
A_23_P146783	6.630675e+002
A_24_P236008	2.012929e+003
A_24_P228611	2.719997e+001
A_24_P11900	4.094602e+001
A_23_P419038	2.179496e+002
A_23_P335143	1.890979e+001
A_23_P165078	2.455471e+003
A_23_P104484	2.248922e+001
A_23_P252145	1.968835e+002
A_24_P363134	9.005946e+000
A_23_P315364	1.490887e+002
A_24_P766854	3.324065e+000
A_23_P200425	6.934722e+002
A_32_P93996	6.893275e+001
A_23_P10561	2.230093e+001
A_23_P384825	2.940082e+001
A_32_P136427	7.124288e+002
A_23_P155830	8.622872e+003
RC5	-2.145499e-001
A_32_P230059	4.928750e+003
A_23_P63167	4.778275e+001
A_23_P158461	2.564963e+001
A_23_P75973	3.502622e+002
A_24_P209204	2.658675e+004
A_32_P213091	1.837216e+001
A_24_P119002	3.507057e+002
A_24_P161086	2.084998e+003
A_32_P205913	3.219625e+002
A_23_P337767	2.937141e+002
ETG10_13482	-4.208541e+000
A_32_P59010	1.462005e+003
A_23_P427299	6.412837e+001
A_23_P17655	8.557913e+002
A_23_P164100	4.071508e+000
A_23_P31725	1.474085e+001
A_32_P66072	6.808702e+001
A_23_P39454	-1.581373e-001
A_23_P67332	1.151738e+003
ETG04_27747	-2.701102e-001
A_23_P205646	4.499649e+003
A_24_P157415	1.979744e+003
A_23_P418493	2.647886e+003
A_24_P3415	2.928580e+003
A_32_P136269	-7.218328e+000
A_23_P39040	7.469684e+003
A_24_P295620	6.908715e+003
A_32_P146777	1.914318e+002
A_24_P410639	4.186735e+003
A_23_P124384	5.780248e+001
A_23_P125771	1.673089e+002
DarkCorner	-2.777668e+000
DarkCorner	-5.332526e+000
DarkCorner	-5.746617e+000
DarkCorner	-3.942545e+000
DarkCorner	-1.537642e+000
DarkCorner	-4.126914e+000
DarkCorner	-7.434792e-001
DarkCorner	-1.640952e+000
DarkCorner	-5.195933e+000
DarkCorner	5.875911e+000
DarkCorner	8.926950e-003
DarkCorner	-2.125534e+000
DarkCorner	-1.377533e+000
DarkCorner	1.898388e-001
DarkCorner	6.045545e-002
DarkCorner	1.453225e+000
DarkCorner	-1.747270e+000
DarkCorner	-8.690760e-002
A_23_P93722	1.603797e+002
A_23_P127288	5.530616e+000
A_23_P132294	3.624827e+004
A_24_P830006	5.685064e+001
A_24_P710866	1.709073e+002
A_23_P313640	1.198912e+003
A_24_P100368	5.132205e+002
A_32_P105397	5.982415e+002
A_24_P121271	1.699436e+003
A_32_P18838	5.449079e+002
A_23_P163099	1.818964e+002
A_24_P324783	3.030675e+001
A_24_P144183	2.153807e+004
A_23_P8625	2.917384e+001
A_24_P124550	1.166563e+002
A_23_P92842	7.616089e+003
A_23_P7033	6.587619e+003
A_23_P130865	5.977747e+002
A_23_P33809	7.340372e+003
A_23_P367071	1.308409e+002
A_24_P50437	6.060035e+003
A_32_P66674	3.802869e+001
A_24_P214552	4.624437e+001
A_23_P95050	3.164109e+002
A_23_P99452	1.961399e+001
A_23_P98900	5.346297e+002
A_32_P19917	1.430057e+002
A_24_P897997	4.382358e+001
A_23_P107211	6.263864e+002
A_32_P175715	3.455011e+001
A_23_P348138	5.716433e+002
A_24_P489105	6.671756e+001
A_32_P202587	1.005683e+002
A_23_P355075	1.296929e+002
A_32_P93584	5.806704e+001
A_32_P208200	3.519095e+001
A_32_P162416	1.631723e+002
A_32_P79103	6.522901e+001
A_24_P28657	4.832824e+002
A_23_P99044	8.437238e+001
A_24_P509948	1.549681e+002
A_24_P397204	2.952665e+002
A_23_P28834	3.085557e+003
A_23_P251868	-1.577206e+000
A_23_P202156	1.278854e+002
RC1	-8.371282e+000
A_24_P289954	2.429825e+000
A_23_P33927	3.073039e+002
A_23_P56798	2.582198e+003
A_23_P327307	2.206908e+002
A_23_P170337	6.448079e+003
A_24_P182586	7.487898e+002
A_23_P416766	6.284294e+000
A_23_P363831	1.584466e+003
A_24_P144625	6.514416e+001
A_24_P913828	3.135572e+002
A_23_P329286	6.026469e+002
A_23_P18913	3.233450e+001
A_23_P420218	1.558562e+002
A_23_P92025	1.344579e+003
A_32_P187234	2.223583e+001
A_32_P204795	7.244184e+001
A_23_P156996	7.542875e+001
A_24_P579439	8.096821e+002
A_32_P89827	1.950214e+002
A_23_P201538	5.009107e+003
A_24_P366535	3.675679e+003
DarkCorner	4.267674e-002
DarkCorner	-1.769298e+000
DarkCorner	-5.678801e+000
DarkCorner	-7.836866e+000
DarkCorner	-5.814909e+000
DarkCorner	1.664930e+000
DarkCorner	-2.604738e-001
DarkCorner	-6.716466e+000
DarkCorner	-7.804817e-001
DarkCorner	7.160487e+000
DarkCorner	-3.956853e+000
DarkCorner	-7.700693e+000
DarkCorner	-6.382310e+000
DarkCorner	-1.157406e+000
DarkCorner	-1.583419e+000
DarkCorner	-1.075098e+000
DarkCorner	-2.212635e+000
DarkCorner	3.221088e+000
A_23_P113692	3.607152e+001
A_23_P55518	2.643397e+002
A_23_P219176	2.949705e+003
A_24_P263937	1.596294e+003
A_32_P181452	1.383980e+002
A_24_P236956	2.841810e+004
A_24_P33048	3.941454e+002
A_24_P304419	1.850501e+001
A_23_P65930	3.273580e+003
A_23_P74653	5.115957e+003
A_23_P214059	4.032989e+003
A_23_P321959	1.116348e+004
A_23_P127322	2.872577e+001
A_23_P31006	7.312102e+001
A_23_P157669	7.657017e+004
A_24_P29703	8.556696e+002
A_24_P289834	1.715023e+002
A_23_P122052	3.031108e+002
A_23_P120378	1.469721e+001
A_23_P77971	5.131071e+001
A_24_P257022	2.600153e+002
A_23_P61919	-7.538876e-001
A_23_P134454	1.071874e+004
A_23_P43765	1.601095e+003
A_32_P210622	2.205826e+001
A_24_P100627	8.919226e-001
A_23_P16817	7.185140e+003
A_23_P125423	3.146226e+002
A_32_P181593	4.803129e+001
A_23_P257763	1.313210e+002
A_23_P163787	6.554460e+000
A_24_P876152	-1.198886e+000
A_23_P110433	3.010333e+003
A_23_P145016	3.340229e+003
A_23_P94563	2.468601e+001
A_23_P53724	5.135260e+001
A_23_P166848	1.868807e+001
A_32_P64286	3.452055e+000
A_32_P112881	2.221947e+004
A_23_P96008	1.996830e+003
A_32_P155721	2.435551e+001
A_32_P137632	2.582743e+002
AT_W_5	-8.221541e+000
A_23_P97123	1.217155e+003
A_23_P69513	2.026420e+002
A_24_P195205	4.440707e+002
A_24_P914208	2.062849e+003
A_24_P925709	1.785143e+003
A_24_P226755	4.626786e+000
A_23_P83175	1.780152e+002
A_24_P322426	7.282234e+002
A_24_P522399	1.127709e+001
A_23_P398947	7.198595e+000
A_23_P67661	7.304890e+001
A_24_P23951	3.034844e+003
A_23_P149998	1.333301e+002
A_23_P40433	9.578548e+001
A_23_P11507	6.369305e+002
A_23_P53397	1.960957e+002
A_23_P345799	8.556975e+001
A_23_P25097	5.096923e+003
A_24_P354451	1.852029e+003
A_24_P85590	1.264131e+001
A_23_P155828	1.729283e+004
A_23_P106773	9.354974e+002
A_23_P385835	1.183760e+001
A_23_P76799	1.388121e+003
A_32_P50463	4.159001e+001
DarkCorner	-1.773347e+000
DarkCorner	-5.599481e+000
DarkCorner	-8.289929e+000
DarkCorner	-5.868833e-001
DarkCorner	-6.441016e+000
DarkCorner	-2.571197e+000
DarkCorner	-4.357944e+000
DarkCorner	8.455977e-001
DarkCorner	3.801269e+000
DarkCorner	-1.636909e+000
DarkCorner	9.709015e-001
DarkCorner	-1.717657e+000
DarkCorner	-6.589404e-001
DarkCorner	5.349826e-002
DarkCorner	-1.580484e+000
DarkCorner	-2.352528e+000
A_23_P52109	1.266201e+001
A_23_P204721	7.885719e+001
A_23_P255076	4.953364e+002
A_24_P921477	8.121629e+002
A_24_P216014	1.407620e+001
A_23_P7201	2.001593e+003
A_32_P132169	1.222287e+003
A_23_P105900	1.669802e+004
