Reporter Identifier	VALUE
GE_BrightCorner	1.122231e+005
DarkCorner	-4.267073e+000
DarkCorner	-5.755717e+000
DarkCorner	-3.113984e+000
DarkCorner	-2.332375e+000
DarkCorner	-6.401628e+000
DarkCorner	-2.860321e+000
DarkCorner	-3.561737e+000
DarkCorner	-6.893911e-001
DarkCorner	-4.539840e+000
DarkCorner	-5.344468e+000
A_24_P66027	3.769238e+001
A_32_P77178	1.841130e+001
A_23_P212522	1.493115e+003
A_24_P934473	4.861647e+000
A_24_P9671	7.853708e+003
A_32_P29551	5.165639e+001
A_24_P801451	5.975856e+001
A_32_P30710	3.575016e+004
A_32_P89523	2.491410e+001
A_24_P704878	1.892951e+001
A_32_P86028	2.694968e+004
A_24_P470079	1.500591e+001
A_23_P65830	7.712352e+002
A_23_P109143	3.520442e+003
A_24_P595567	-1.045201e+000
A_24_P391591	3.996155e+001
A_24_P799245	-2.119226e+000
A_24_P932757	-9.534854e+000
A_24_P835500	1.168394e+002
A_23_P54340	2.463656e+001
A_23_P67555	2.875923e+002
A_24_P286412	5.349766e+001
A_24_P229084	2.358104e+000
A_23_P202696	5.014195e+002
A_24_P927716	1.181584e+002
A_23_P124837	3.909759e+001
A_24_P329635	9.736996e+002
AT_D_3	-2.523929e+000
A_23_P148439	4.611714e+002
A_23_P137931	-1.989500e+000
A_23_P203819	4.951743e+003
A_32_P198868	4.990286e+000
A_24_P687	5.469375e+000
A_23_P253052	7.949543e+002
A_32_P139302	4.749471e+001
A_23_P201647	9.613089e+002
A_24_P350557	-4.811694e+000
A_23_P146584	2.955747e+002
A_24_P289607	-3.037033e+000
A_32_P54289	1.288435e+002
A_23_P77000	9.275561e+001
A_23_P111020	9.618905e+001
A_32_P103558	5.867581e+002
A_32_P235289	1.878498e+001
A_32_P22191	1.101285e+002
A_24_P253251	1.251208e+003
A_24_P52168	6.886835e+001
A_24_P530900	4.810935e+001
A_23_P391894	1.513157e+001
A_24_P209571	9.977489e+003
A_24_P148907	1.186696e+003
A_24_P6825	4.374765e+000
A_23_P149281	3.716823e+002
A_23_P104098	6.313223e+001
A_24_P151920	9.536448e+001
A_24_P252223	1.177632e+003
A_32_P141065	1.101818e+002
A_23_P217015	4.461640e+002
A_32_P188888	2.296040e+001
A_23_P135381	1.002751e+003
A_23_P151294	-1.500624e+000
A_32_P149011	1.067724e+002
A_32_P156549	2.024354e+003
DarkCorner	-6.345605e+000
DarkCorner	-6.849847e+000
DarkCorner	-3.772497e+000
DarkCorner	-2.557688e+000
DarkCorner	-9.534995e-001
DarkCorner	1.618568e+000
DarkCorner	-4.143941e+000
DarkCorner	-6.572992e+000
DarkCorner	4.377310e-001
GE_BrightCorner	1.101345e+005
GE_BrightCorner	1.128295e+005
GE_BrightCorner	1.196976e+005
DarkCorner	-6.361966e+000
DarkCorner	-4.572544e+000
DarkCorner	-2.302092e+000
DarkCorner	-5.954632e+000
DarkCorner	-2.745444e+000
DarkCorner	-2.497874e+000
DarkCorner	-3.145385e+000
DarkCorner	-9.833542e-001
DarkCorner	-4.270791e+000
A_23_P215419	2.424798e+001
A_23_P145874	4.007985e+000
AT_ssH_TR_5	1.659685e+001
A_23_P127662	4.033138e+001
A_23_P253029	1.416829e+003
A_32_P125233	1.854859e+001
A_24_P298846	4.049284e+002
A_23_P141315	5.046671e+002
A_23_P87351	7.959867e+003
AT_ssH_PC_3	9.715561e+002
A_23_P155677	1.035337e+003
A_24_P938342	-8.734543e+000
A_24_P131173	1.368026e+001
A_32_P76091	2.165543e+002
A_24_P50489	1.087072e+004
A_24_P276932	8.622600e+002
A_24_P838448	1.663185e+002
A_23_P337746	5.188701e+001
A_23_P216689	6.149313e+002
A_24_P208897	3.636218e+000
A_24_P42557	2.235707e+000
(+)E1A_r60_3	-2.067488e-001
A_23_P93295	1.150234e+001
A_24_P926770	3.013729e+002
A_23_P67355	1.325434e+002
A_23_P48487	6.525847e+001
A_23_P204947	2.919615e+004
A_24_P50738	4.715080e+000
A_24_P624263	7.723686e+000
A_23_P351328	1.888724e+001
A_23_P129829	5.373183e+003
A_23_P142688	3.517388e+002
A_32_P10665	6.852098e+001
A_23_P53015	1.590708e+002
A_23_P56855	3.632237e+000
A_32_P184330	5.022786e+000
A_24_P212086	2.809019e+003
A_24_P373475	-3.669890e+000
A_23_P107597	3.633602e+001
ETG02_36680	-3.813376e+000
A_24_P394940	7.683082e+000
A_24_P912617	-2.082768e+000
A_23_P152107	7.027877e+003
A_23_P97584	5.345494e+003
A_32_P146113	-2.135803e+000
(+)E1A_r60_a97	1.689955e+004
A_24_P305467	1.064489e+003
A_23_P426140	2.365002e+002
A_24_P356721	1.300387e+004
A_23_P356755	6.307344e+003
A_23_P379550	4.258990e+002
A_23_P345710	3.185572e+002
A_24_P719096	-1.203756e+000
A_24_P343233	6.483094e+002
A_23_P408787	-7.170366e+000
A_23_P344655	-5.883739e-001
A_23_P350678	3.961192e+000
A_23_P397933	6.609066e+000
A_23_P145024	1.540373e+003
A_24_P104115	1.079096e+002
A_23_P433829	6.767764e+001
A_23_P110846	7.100479e+002
A_24_P910381	1.867187e+001
A_23_P110699	1.945550e+001
DarkCorner	-7.127615e+000
DarkCorner	-6.574954e+000
DarkCorner	-5.445212e+000
DarkCorner	-2.486033e+000
DarkCorner	-4.046883e+000
DarkCorner	-6.292909e+000
DarkCorner	-1.809015e+000
DarkCorner	-3.318510e+000
DarkCorner	-7.013844e-001
DarkCorner	-2.303188e+000
GE_BrightCorner	1.064186e+005
DarkCorner	-4.140058e+000
DarkCorner	-6.988516e+000
DarkCorner	-4.816129e+000
DarkCorner	-7.714966e+000
DarkCorner	-4.245430e+000
DarkCorner	-7.422609e+000
DarkCorner	-1.994119e+000
DarkCorner	-2.279809e+000
DarkCorner	-4.389953e+000
DarkCorner	-7.964058e+000
A_23_P60811	2.116132e+000
A_23_P112327	1.463969e+000
A_24_P344890	7.286549e+000
A_23_P111381	8.989884e+002
A_23_P48414	7.584089e+001
A_32_P3518	-6.335996e+000
A_32_P430743	9.548222e+000
A_24_P405552	2.892670e+002
A_23_P85015	2.055711e+001
A_23_P215604	2.254835e+001
A_23_P369815	3.056717e+001
A_32_P174908	4.855726e+003
A_23_P47155	2.313489e+002
A_23_P66211	6.998690e+001
A_23_P14986	2.316992e+003
A_23_P146783	2.355575e+002
A_24_P236008	8.010129e+002
A_24_P228611	4.159356e+000
A_24_P11900	4.488366e+000
A_23_P419038	1.161624e+002
A_23_P335143	6.134665e+000
A_23_P165078	1.009089e+003
A_23_P104484	3.327950e+000
A_23_P252145	4.669300e+001
A_24_P363134	3.658755e+000
A_23_P315364	5.370159e+001
A_24_P766854	-2.115045e+000
A_23_P200425	2.584197e+002
A_32_P93996	2.960825e+001
A_23_P10561	2.769486e+000
A_23_P384825	1.998307e+001
A_32_P136427	2.543289e+002
A_23_P155830	3.711231e+003
RC5	-5.075422e+000
A_32_P230059	1.217346e+004
A_23_P63167	4.788426e+000
