Reporter Identifier	VALUE
GE_BrightCorner	9.999518e+004
DarkCorner	1.192179e+001
DarkCorner	1.341833e+001
DarkCorner	4.881993e+000
DarkCorner	9.980635e-002
DarkCorner	7.901984e+000
DarkCorner	-1.165176e+000
DarkCorner	1.822998e+000
DarkCorner	-9.777330e-002
DarkCorner	-3.418369e+000
DarkCorner	-5.348338e+000
A_24_P66027	2.661911e+002
A_32_P77178	2.020231e+001
A_23_P212522	2.899515e+003
A_24_P934473	1.405388e+001
A_24_P9671	1.545967e+004
A_32_P29551	1.942251e+002
A_24_P801451	1.188009e+002
A_32_P30710	9.007839e+004
A_32_P89523	3.881631e+001
A_24_P704878	6.033792e+001
A_32_P86028	6.728982e+004
A_24_P470079	4.513076e+001
A_23_P65830	1.805884e+003
A_23_P109143	1.092451e+004
A_24_P595567	8.517570e+000
A_24_P391591	7.963196e+001
A_24_P799245	3.877422e+000
A_24_P932757	-3.743322e+000
A_24_P835500	2.657101e+002
A_23_P54340	7.871055e+001
A_23_P67555	4.525200e+002
A_24_P286412	8.391313e+001
A_24_P229084	2.719703e+001
A_23_P202696	1.029769e+003
A_24_P927716	1.854450e+002
A_23_P124837	1.038221e+002
A_24_P329635	1.890328e+003
AT_D_3	-2.853606e+000
A_23_P148439	6.718017e+002
A_23_P137931	1.633284e+000
A_23_P203819	8.664060e+003
A_32_P198868	5.344277e+000
A_24_P687	6.089547e+000
A_23_P253052	1.252462e+003
A_32_P139302	7.130844e+001
A_23_P201647	2.091243e+003
A_24_P350557	-3.432885e+000
A_23_P146584	6.270419e+002
A_24_P289607	-5.315482e+000
A_32_P54289	1.774412e+002
A_23_P77000	3.041310e+002
A_23_P111020	2.084526e+002
A_32_P103558	1.678411e+003
A_32_P235289	5.489887e+001
A_32_P22191	2.358967e+002
A_24_P253251	3.244113e+003
A_24_P52168	1.871138e+002
A_24_P530900	8.109621e+001
A_23_P391894	2.619637e+001
A_24_P209571	1.867980e+004
A_24_P148907	1.721516e+003
A_24_P6825	8.918726e+000
