Reporter Identifier	VALUE
GE_BrightCorner	1.078584e+005
DarkCorner	1.968420e+001
DarkCorner	8.830946e+000
DarkCorner	1.075528e+001
DarkCorner	1.550466e+001
DarkCorner	1.062390e+001
DarkCorner	1.088410e+001
DarkCorner	9.293795e+000
DarkCorner	9.522561e+000
DarkCorner	-1.841699e+000
DarkCorner	5.605837e+000
A_24_P66027	2.392642e+002
A_32_P77178	2.440527e+001
A_23_P212522	3.411536e+003
A_24_P934473	2.798026e+001
A_24_P9671	1.777283e+004
A_32_P29551	2.005135e+002
A_24_P801451	1.173324e+002
A_32_P30710	1.033152e+005
A_32_P89523	5.040910e+001
A_24_P704878	7.193632e+001
A_32_P86028	7.982397e+004
A_24_P470079	4.403808e+001
A_23_P65830	1.854601e+003
A_23_P109143	1.222561e+004
A_24_P595567	1.067697e+001
A_24_P391591	1.094889e+002
A_24_P799245	1.658085e+000
A_24_P932757	1.476642e+000
A_24_P835500	2.789329e+002
A_23_P54340	8.108819e+001
A_23_P67555	5.215630e+002
A_24_P286412	9.899996e+001
A_24_P229084	2.875243e+001
A_23_P202696	1.138530e+003
A_24_P927716	2.364877e+002
A_23_P124837	1.176441e+002
A_24_P329635	1.930152e+003
AT_D_3	7.276653e+000
A_23_P148439	5.559219e+002
A_23_P137931	1.321856e+001
A_23_P203819	9.812548e+003
A_32_P198868	2.079310e+000
A_24_P687	9.752159e-002
A_23_P253052	1.435103e+003
A_32_P139302	8.147659e+001
A_23_P201647	2.434791e+003
A_24_P350557	-4.947410e+000
A_23_P146584	7.698467e+002
A_24_P289607	-2.859720e+000
A_32_P54289	1.749086e+002
A_23_P77000	2.731148e+002
A_23_P111020	2.057345e+002
A_32_P103558	1.815553e+003
A_32_P235289	5.604707e+001
A_32_P22191	2.127074e+002
A_24_P253251	3.685060e+003
A_24_P52168	1.991309e+002
A_24_P530900	7.388424e+001
A_23_P391894	2.955052e+001
A_24_P209571	2.173839e+004
A_24_P148907	1.244975e+003
A_24_P6825	4.976893e+003
A_23_P149281	1.093932e+003
A_23_P104098	1.367388e+002
A_24_P151920	1.609916e+002
A_24_P252223	1.124049e+003
A_32_P141065	2.710823e+002
A_23_P217015	7.651158e+002
A_32_P188888	3.414638e+001
A_23_P135381	2.025789e+003
A_23_P151294	1.851852e+001
A_32_P149011	3.189211e+002
A_32_P156549	4.032610e+003
DarkCorner	-2.590970e+000
DarkCorner	-3.970735e+000
DarkCorner	-1.303644e+000
DarkCorner	-9.357473e-001
DarkCorner	5.021230e-001
DarkCorner	3.778030e-001
DarkCorner	7.318238e+000
DarkCorner	9.391118e-002
DarkCorner	-1.488347e+000
GE_BrightCorner	1.185769e+005
GE_BrightCorner	1.158290e+005
GE_BrightCorner	1.009637e+005
DarkCorner	1.757796e+001
DarkCorner	1.475824e+001
DarkCorner	1.235876e+001
DarkCorner	1.311197e+001
DarkCorner	1.740666e+001
DarkCorner	6.378201e+000
DarkCorner	1.341504e+001
DarkCorner	6.220495e+000
DarkCorner	4.673630e+000
A_23_P215419	8.304280e+001
A_23_P145874	3.732063e+001
AT_ssH_TR_5	4.970783e+001
A_23_P127662	1.136663e+002
A_23_P253029	3.020221e+003
A_32_P125233	4.496548e+001
A_24_P298846	8.525747e+002
A_23_P141315	9.383018e+002
A_23_P87351	1.239810e+004
AT_ssH_PC_3	1.864638e+003
A_23_P155677	2.498628e+003
A_24_P938342	5.649824e+000
A_24_P131173	2.889555e+001
A_32_P76091	3.628685e+002
A_24_P50489	2.393121e+004
A_24_P276932	2.762116e+003
A_24_P838448	5.627019e+002
A_23_P337746	8.654456e+001
A_23_P216689	1.139787e+003
A_24_P208897	1.970255e+001
A_24_P42557	1.550972e+001
(+)E1A_r60_3	2.253462e+001
A_23_P93295	3.513157e+001
A_24_P926770	4.797153e+002
A_23_P67355	3.005806e+002
A_23_P48487	1.465053e+002
A_23_P204947	6.941682e+004
A_24_P50738	2.120815e+001
A_24_P624263	3.542341e+001
A_23_P351328	3.124463e+001
A_23_P129829	8.346749e+003
A_23_P142688	6.214042e+002
A_32_P10665	1.086594e+002
A_23_P53015	2.308946e+002
A_23_P56855	2.464913e+001
A_32_P184330	2.437862e+001
A_24_P212086	9.426147e+003
A_24_P373475	1.336755e-001
A_23_P107597	8.366077e+001
ETG02_36680	6.509965e+000
A_24_P394940	2.299156e+001
A_24_P912617	7.376185e+000
A_23_P152107	1.250651e+004
A_23_P97584	1.216008e+004
A_32_P146113	2.873175e+001
(+)E1A_r60_a97	4.123772e+004
A_24_P305467	2.306476e+003
A_23_P426140	3.638645e+002
A_24_P356721	3.094650e+004
A_23_P356755	1.585003e+004
A_23_P379550	9.498382e+002
A_23_P345710	6.294285e+002
A_24_P719096	6.243057e+003
A_24_P343233	1.454516e+003
A_23_P408787	7.760405e+000
A_23_P344655	1.775919e+000
A_23_P350678	1.081906e+001
A_23_P397933	1.566584e+001
A_23_P145024	3.328923e+003
A_24_P104115	6.588199e+002
A_23_P433829	1.748117e+002
A_23_P110846	1.784588e+003
A_24_P910381	8.315042e+001
A_23_P110699	7.805576e+001
DarkCorner	-4.144751e+000
DarkCorner	-5.779270e+000
DarkCorner	-4.404437e+000
DarkCorner	-3.327493e+000
DarkCorner	-3.292937e+000
DarkCorner	6.147302e-001
DarkCorner	-1.105645e+001
DarkCorner	-3.980528e+000
DarkCorner	-3.417520e+000
DarkCorner	-2.401343e+000
GE_BrightCorner	1.130532e+005
DarkCorner	1.778204e+001
DarkCorner	2.874934e+001
DarkCorner	9.911852e+000
DarkCorner	1.005485e+001
DarkCorner	8.763553e+000
DarkCorner	1.054164e+001
DarkCorner	9.073823e+000
DarkCorner	8.878875e+000
DarkCorner	5.040428e+000
DarkCorner	6.493219e+000
A_23_P60811	1.465615e+001
A_23_P112327	1.726499e+001
A_24_P344890	2.902991e+001
A_23_P111381	1.778820e+003
A_23_P48414	1.014157e+002
A_32_P3518	1.246290e+001
A_32_P430743	1.721746e+001
A_24_P405552	6.832918e+002
A_23_P85015	5.290362e+001
A_23_P215604	5.507216e+001
A_23_P369815	9.786760e+001
A_32_P174908	9.357514e+003
A_23_P47155	7.175322e+002
A_23_P66211	1.255864e+002
A_23_P14986	5.171384e+003
A_23_P146783	7.603624e+002
A_24_P236008	2.099638e+003
A_24_P228611	2.819516e+001
A_24_P11900	5.600774e+001
A_23_P419038	2.162314e+002
A_23_P335143	9.322960e+000
A_23_P165078	2.172763e+003
A_23_P104484	2.411063e+001
A_23_P252145	1.802712e+002
A_24_P363134	1.050420e+001
A_23_P315364	1.098545e+002
A_24_P766854	9.287266e+000
A_23_P200425	5.745163e+002
A_32_P93996	5.592733e+001
A_23_P10561	2.198570e+001
A_23_P384825	5.247672e+001
A_32_P136427	4.868117e+002
A_23_P155830	9.052788e+003
RC5	-7.749665e+000
A_32_P230059	6.246444e+003
A_23_P63167	4.367066e+001
A_23_P158461	2.383770e+001
A_23_P75973	3.455036e+002
A_24_P209204	2.721869e+004
A_32_P213091	8.413401e+001
A_24_P119002	3.973181e+002
A_24_P161086	2.268657e+003
A_32_P205913	3.673347e+002
A_23_P337767	3.154704e+002
ETG10_13482	1.615842e+000
A_32_P59010	1.593785e+003
A_23_P427299	7.502410e+001
A_23_P17655	7.424506e+002
A_23_P164100	6.794827e+000
A_23_P31725	1.195524e+001
A_32_P66072	8.311305e+001
A_23_P39454	8.788320e+000
A_23_P67332	1.067157e+003
ETG04_27747	-5.996859e+000
A_23_P205646	5.382519e+003
A_24_P157415	2.383768e+003
A_23_P418493	2.549007e+003
A_24_P3415	3.551686e+003
A_32_P136269	-1.223997e+000
A_23_P39040	6.495804e+003
A_24_P295620	6.929737e+003
A_32_P146777	2.024605e+002
A_24_P410639	4.294410e+003
A_23_P124384	3.943602e+001
A_23_P125771	1.388024e+002
DarkCorner	-6.915676e+000
DarkCorner	-6.417701e+000
DarkCorner	-5.994318e+000
DarkCorner	7.208111e-001
DarkCorner	-5.221867e+000
DarkCorner	-7.935263e+000
DarkCorner	-7.956282e+000
DarkCorner	-5.970505e+000
DarkCorner	-4.202053e+000
DarkCorner	2.173409e+001
DarkCorner	7.955068e+000
DarkCorner	3.711412e+000
DarkCorner	5.926840e+000
DarkCorner	7.010333e+000
DarkCorner	1.289741e+001
DarkCorner	1.050481e+001
DarkCorner	7.882503e+000
DarkCorner	5.829599e+000
A_23_P93722	1.802856e+002
A_23_P127288	3.713053e+000
A_23_P132294	3.457940e+004
A_24_P830006	7.403024e+001
A_24_P710866	2.247824e+002
A_23_P313640	1.115495e+003
A_24_P100368	4.112865e+002
A_32_P105397	4.861000e+002
A_24_P121271	1.716163e+003
A_32_P18838	6.395666e+002
