Reporter Identifier	VALUE
GE_BrightCorner	2.895869e+004
DarkCorner	-2.499188e+000
DarkCorner	-1.676935e-002
DarkCorner	-3.973400e+000
DarkCorner	-2.073653e+000
DarkCorner	-2.196445e+000
DarkCorner	-3.964982e+000
DarkCorner	1.178795e+000
DarkCorner	-8.477218e-001
DarkCorner	-2.839887e+000
DarkCorner	-3.528217e+000
A_24_P66027	4.333256e+001
A_32_P77178	2.273470e+001
A_23_P212522	1.753030e+003
A_24_P934473	1.301498e+001
A_24_P9671	4.375815e+003
A_32_P29551	3.548337e+001
A_24_P801451	1.016661e+002
A_32_P30710	3.650101e+004
A_32_P89523	1.535144e+001
A_24_P704878	9.358859e+000
A_32_P86028	2.501216e+004
A_24_P470079	1.495614e+001
A_23_P65830	9.764910e+002
A_23_P109143	4.632043e+003
A_24_P595567	2.007305e+000
A_24_P391591	5.502136e+001
A_24_P799245	-2.835471e+000
A_24_P932757	-5.363495e+000
A_24_P835500	9.193134e+001
A_23_P54340	1.890421e+001
A_23_P67555	2.091650e+002
A_24_P286412	3.776153e+001
A_24_P229084	-1.391168e+000
A_23_P202696	5.228941e+002
A_24_P927716	1.209941e+002
A_23_P124837	7.319490e+001
A_24_P329635	9.326178e+002
AT_D_3	-2.857889e+000
A_23_P148439	3.277273e+002
A_23_P137931	-7.453346e+000
A_23_P203819	4.756872e+003
A_32_P198868	1.501968e+000
A_24_P687	1.266985e-001
A_23_P253052	6.294921e+002
A_32_P139302	2.760168e+001
A_23_P201647	1.203568e+003
A_24_P350557	-4.657720e+000
A_23_P146584	2.424627e+002
A_24_P289607	-1.251924e+000
A_32_P54289	7.341187e+001
A_23_P77000	9.297435e+001
A_23_P111020	9.916505e+001
A_32_P103558	5.774707e+002
A_32_P235289	1.555412e+001
A_32_P22191	7.161827e+001
A_24_P253251	1.323096e+003
A_24_P52168	6.059014e+001
A_24_P530900	4.173499e+001
A_23_P391894	4.793336e+000
A_24_P209571	1.409559e+004
A_24_P148907	3.221437e+002
A_24_P6825	4.405336e+000
A_23_P149281	3.488194e+002
A_23_P104098	6.720658e+001
A_24_P151920	9.791853e+001
A_24_P252223	5.707382e+002
A_32_P141065	1.155111e+002
A_23_P217015	3.783582e+002
A_32_P188888	3.097287e+001
A_23_P135381	1.021836e+003
A_23_P151294	5.323122e+000
A_32_P149011	7.467218e+001
A_32_P156549	2.109721e+003
DarkCorner	-2.499778e+000
DarkCorner	-3.365724e+000
DarkCorner	-6.219754e-001
DarkCorner	-1.929586e+000
DarkCorner	-1.781887e+000
DarkCorner	-2.400904e+000
DarkCorner	-8.941061e-001
DarkCorner	-6.406950e-001
DarkCorner	1.049169e+000
GE_BrightCorner	2.987681e+004
GE_BrightCorner	2.963365e+004
GE_BrightCorner	3.132364e+004
DarkCorner	-1.599531e+000
DarkCorner	-2.770128e+000
DarkCorner	-1.930870e+000
DarkCorner	9.287044e-001
DarkCorner	-1.479410e+000
DarkCorner	-3.204323e+000
DarkCorner	-1.813097e+000
DarkCorner	4.409629e-001
DarkCorner	-2.523354e+000
A_23_P215419	2.939083e+001
A_23_P145874	1.481752e+001
AT_ssH_TR_5	1.591197e+001
A_23_P127662	2.400944e+001
A_23_P253029	1.623515e+003
A_32_P125233	6.025722e+001
A_24_P298846	5.067881e+002
A_23_P141315	5.267358e+002
A_23_P87351	5.851405e+003
AT_ssH_PC_3	9.727902e+002
A_23_P155677	1.006279e+003
A_24_P938342	-3.425380e+000
A_24_P131173	6.869610e+000
A_32_P76091	1.149357e+002
A_24_P50489	1.004050e+004
A_24_P276932	1.549439e+003
A_24_P838448	1.285064e+002
A_23_P337746	3.309820e+001
A_23_P216689	2.570313e+002
A_24_P208897	-2.345922e+000
A_24_P42557	5.840239e+000
(+)E1A_r60_3	7.387684e+001
A_23_P93295	7.525123e+000
A_24_P926770	3.166726e+002
A_23_P67355	2.422805e+002
A_23_P48487	4.929274e+001
A_23_P204947	2.082870e+004
A_24_P50738	4.949515e-001
A_24_P624263	1.177484e+001
A_23_P351328	1.268611e+001
A_23_P129829	4.588120e+003
A_23_P142688	2.499131e+002
A_32_P10665	3.517652e+001
A_23_P53015	1.208569e+002
A_23_P56855	2.811578e+000
A_32_P184330	3.070012e+000
A_24_P212086	2.779576e+003
A_24_P373475	-7.399445e+000
A_23_P107597	3.749773e+001
ETG02_36680	9.596367e-001
A_24_P394940	7.779058e+000
A_24_P912617	-3.204593e+000
A_23_P152107	6.227352e+003
A_23_P97584	4.096045e+003
A_32_P146113	1.088672e+001
(+)E1A_r60_a97	2.402868e+004
A_24_P305467	8.701623e+002
A_23_P426140	9.341213e+001
A_24_P356721	1.600357e+004
A_23_P356755	4.359199e+003
A_23_P379550	4.114468e+002
A_23_P345710	3.231776e+002
A_24_P719096	4.047153e+000
A_24_P343233	5.182938e+002
A_23_P408787	-6.278097e+000
A_23_P344655	-9.497153e-001
A_23_P350678	1.572060e+000
A_23_P397933	6.132176e+000
A_23_P145024	1.168130e+003
A_24_P104115	2.870319e+002
A_23_P433829	6.823776e+001
A_23_P110846	5.835429e+002
A_24_P910381	1.821355e+001
A_23_P110699	2.358645e+001
DarkCorner	-2.326196e+000
DarkCorner	-1.130449e+000
DarkCorner	-1.403351e-001
DarkCorner	-4.596575e+000
DarkCorner	-9.967914e-001
DarkCorner	-1.180160e+000
DarkCorner	-4.234646e+000
DarkCorner	4.883999e-001
DarkCorner	-2.578667e-001
DarkCorner	1.215701e-001
GE_BrightCorner	2.780944e+004
DarkCorner	2.252566e+000
DarkCorner	4.702030e-001
DarkCorner	9.204460e-002
DarkCorner	1.526969e+000
DarkCorner	-3.156758e+000
DarkCorner	-3.320226e-001
DarkCorner	-3.276944e+000
DarkCorner	-1.704786e+000
DarkCorner	-2.830637e+000
DarkCorner	-4.401315e+000
A_23_P60811	2.468699e+000
A_23_P112327	4.505459e+000
A_24_P344890	1.118078e+001
A_23_P111381	5.337326e+002
A_23_P48414	3.324249e+001
A_32_P3518	1.627049e-001
A_32_P430743	1.198327e+001
A_24_P405552	2.590429e+002
A_23_P85015	3.390126e+000
A_23_P215604	1.211887e+001
A_23_P369815	3.271575e+001
A_32_P174908	2.677413e+003
A_23_P47155	2.181160e+002
A_23_P66211	4.487576e+001
A_23_P14986	6.494159e+003
A_23_P146783	3.295520e+002
A_24_P236008	5.539549e+002
A_24_P228611	1.634286e+000
A_24_P11900	1.200527e+001
A_23_P419038	1.705229e+002
A_23_P335143	-4.236787e+000
A_23_P165078	1.310607e+003
A_23_P104484	-4.828594e-001
A_23_P252145	4.460060e+001
A_24_P363134	1.231812e-001
A_23_P315364	3.298982e+001
A_24_P766854	-3.577855e+000
A_23_P200425	1.999357e+002
A_32_P93996	3.925685e+001
A_23_P10561	1.684549e+000
A_23_P384825	7.282440e+000
A_32_P136427	2.410200e+002
A_23_P155830	3.536511e+003
RC5	-4.583439e+000
A_32_P230059	2.876784e+003
A_23_P63167	9.848354e+000
A_23_P158461	8.383994e+000
A_23_P75973	1.188808e+002
A_24_P209204	8.517294e+003
A_32_P213091	-2.107379e+000
A_24_P119002	2.180644e+002
A_24_P161086	8.355033e+002
A_32_P205913	1.278176e+002
A_23_P337767	1.028733e+002
ETG10_13482	-4.457947e+000
A_32_P59010	2.804701e+002
A_23_P427299	4.547360e+001
A_23_P17655	2.332007e+002
A_23_P164100	7.093358e+000
A_23_P31725	2.764093e+000
A_32_P66072	6.147126e+001
A_23_P39454	1.689236e+000
A_23_P67332	9.842345e+002
ETG04_27747	-1.789930e+000
A_23_P205646	1.484500e+003
A_24_P157415	6.539992e+002
A_23_P418493	1.436023e+003
A_24_P3415	5.832912e+002
A_32_P136269	-4.279991e-001
A_23_P39040	2.503977e+003
A_24_P295620	1.740196e+003
A_32_P146777	8.840137e+001
A_24_P410639	1.194219e+003
A_23_P124384	1.452533e+001
A_23_P125771	9.135155e+001
DarkCorner	-3.113133e+000
DarkCorner	-2.883297e+000
DarkCorner	-2.754666e+000
DarkCorner	-5.405293e+000
DarkCorner	-7.258598e+000
DarkCorner	-4.339294e+000
DarkCorner	2.066971e+000
DarkCorner	-2.112474e+000
DarkCorner	-1.260965e+000
DarkCorner	1.250449e+000
DarkCorner	1.872025e+000
DarkCorner	-3.215262e+000
DarkCorner	-2.057774e+000
DarkCorner	-3.011102e+000
DarkCorner	-3.532961e+000
DarkCorner	5.395953e-002
DarkCorner	-4.330949e+000
DarkCorner	-5.828616e+000
A_23_P93722	1.072044e+002
A_23_P127288	-4.820140e+000
A_23_P132294	1.689901e+004
A_24_P830006	9.974366e+000
A_24_P710866	9.835150e+001
A_23_P313640	4.843352e+002
A_24_P100368	1.889646e+002
A_32_P105397	1.699622e+002
A_24_P121271	6.742082e+002
A_32_P18838	2.746371e+002
A_23_P163099	5.596194e+001
A_24_P324783	6.487893e+000
A_24_P144183	8.794908e+003
A_23_P8625	1.121137e+001
A_24_P124550	2.267402e+001
A_23_P92842	2.643343e+003
A_23_P7033	2.911256e+003
A_23_P130865	3.240372e+002
A_23_P33809	2.682316e+003
A_23_P367071	3.642956e+001
A_24_P50437	2.929381e+003
A_32_P66674	3.544304e+000
A_24_P214552	6.660407e+000
A_23_P95050	1.005330e+002
A_23_P99452	-2.326403e-001
A_23_P98900	2.121093e+002
A_32_P19917	6.923574e+001
A_24_P897997	1.464458e+001
A_23_P107211	2.015581e+002
A_32_P175715	1.467804e+000
A_23_P348138	2.398658e+002
A_24_P489105	1.830015e+001
A_32_P202587	1.641417e+002
A_23_P355075	3.264422e+001
A_32_P93584	1.552849e+001
A_32_P208200	3.146642e+001
A_32_P162416	6.973259e+001
A_32_P79103	3.219792e+001
A_24_P28657	1.611934e+002
A_23_P99044	5.673000e+001
A_24_P509948	6.961579e+001
A_24_P397204	1.082824e+002
A_23_P28834	1.235794e+003
A_23_P251868	-3.509890e+000
A_23_P202156	8.172740e+001
RC1	-7.986111e+000
A_24_P289954	-4.745603e+000
A_23_P33927	8.966735e+001
A_23_P56798	1.068360e+003
A_23_P327307	9.451333e+001
A_23_P170337	2.206254e+003
A_24_P182586	4.026094e+002
A_23_P416766	-4.270477e+000
A_23_P363831	4.429314e+002
A_24_P144625	4.656462e+001
A_24_P913828	1.396279e+002
A_23_P329286	1.982794e+002
A_23_P18913	7.466870e-002
A_23_P420218	4.392116e+001
A_23_P92025	5.399399e+002
A_32_P187234	1.001128e+001
A_32_P204795	3.401550e+001
A_23_P156996	5.556049e+001
A_24_P579439	3.315741e+002
A_32_P89827	5.767840e+001
A_23_P201538	3.056956e+003
A_24_P366535	1.180055e+003
DarkCorner	-5.394469e+000
DarkCorner	-3.508363e+000
DarkCorner	-4.501082e+000
DarkCorner	4.367023e-001
DarkCorner	-1.860775e+000
DarkCorner	-2.902241e+000
DarkCorner	-3.218657e+000
DarkCorner	-1.266710e+000
DarkCorner	4.195084e-001
DarkCorner	1.661444e+000
DarkCorner	-7.117666e-001
DarkCorner	-2.796151e+000
DarkCorner	-3.798742e+000
DarkCorner	-9.610557e-001
DarkCorner	-1.534022e+000
DarkCorner	-3.339213e+000
DarkCorner	-4.992410e+000
DarkCorner	-4.464233e+000
A_23_P113692	-9.421413e-001
A_23_P55518	1.865965e+002
A_23_P219176	1.659532e+003
A_24_P263937	7.658512e+002
A_32_P181452	6.122670e+001
A_24_P236956	1.021313e+004
A_24_P33048	1.110993e+002
A_24_P304419	2.038814e+000
A_23_P65930	1.738521e+003
A_23_P74653	1.864885e+003
A_23_P214059	1.921046e+003
A_23_P321959	3.526476e+003
A_23_P127322	9.356654e+000
A_23_P31006	4.156357e+001
A_23_P157669	4.495474e+004
A_24_P29703	3.185642e+002
A_24_P289834	4.020656e+001
A_23_P122052	6.425326e+001
A_23_P120378	1.661520e+000
A_23_P77971	2.433776e+001
A_24_P257022	1.254697e+002
A_23_P61919	-6.694133e+000
A_23_P134454	3.734011e+003
A_23_P43765	5.240372e+002
A_32_P210622	3.493523e+000
A_24_P100627	-5.609523e+000
A_23_P16817	1.609780e+003
A_23_P125423	7.873580e+001
A_32_P181593	1.529233e+001
A_23_P257763	4.837477e+001
A_23_P163787	-1.602639e+000
A_24_P876152	-9.765240e+000
A_23_P110433	1.117169e+003
A_23_P145016	1.234318e+003
A_23_P94563	8.484269e+000
A_23_P53724	9.628124e+000
A_23_P166848	3.556320e+000
A_32_P64286	-4.547268e+000
A_32_P112881	8.350954e+003
A_23_P96008	5.802859e+002
A_32_P155721	4.357650e+000
A_32_P137632	1.005338e+002
AT_W_5	-1.676792e+000
A_23_P97123	5.172697e+002
A_23_P69513	9.815011e+001
A_24_P195205	1.426532e+002
A_24_P914208	8.892126e+002
A_24_P925709	7.594208e+002
A_24_P226755	-2.613384e+000
A_23_P83175	8.772612e+001
A_24_P322426	3.822714e+002
A_24_P522399	2.985404e+000
A_23_P398947	-7.963952e-002
A_23_P67661	2.213287e+001
A_24_P23951	1.275685e+003
A_23_P149998	3.735860e+001
A_23_P40433	2.697654e+001
A_23_P11507	2.271171e+002
A_23_P53397	1.135023e+002
A_23_P345799	3.277776e+001
A_23_P25097	1.270027e+003
A_24_P354451	7.475465e+002
A_24_P85590	2.265034e+000
A_23_P155828	6.562569e+003
A_23_P106773	3.154355e+002
A_23_P385835	6.746848e-001
A_23_P76799	5.111845e+002
A_32_P50463	1.043194e+001
DarkCorner	-1.566181e-001
DarkCorner	-3.323652e+000
DarkCorner	-3.716952e+000
DarkCorner	-4.613262e+000
DarkCorner	-3.372070e+000
DarkCorner	1.013344e+000
DarkCorner	-3.797481e+000
DarkCorner	-7.881224e-001
DarkCorner	-7.828744e-001
DarkCorner	-7.573520e-001
DarkCorner	-2.327184e+000
DarkCorner	-2.471195e-001
DarkCorner	-3.486920e-001
DarkCorner	-3.235311e+000
DarkCorner	-1.239885e+000
DarkCorner	-3.077495e+000
A_23_P52109	-8.318290e-001
A_23_P204721	2.084398e+001
A_23_P255076	1.566125e+002
A_24_P921477	2.674132e+002
A_24_P216014	3.825666e+000
A_23_P7201	7.589677e+002
A_32_P132169	8.742352e+002
A_23_P105900	7.056687e+003
A_24_P59506	-8.236116e-001
A_23_P402287	2.959057e+002
A_24_P583225	1.593957e+001
A_23_P314726	2.310921e+003
A_24_P241815	8.776371e+002
A_23_P37623	1.485247e+002
A_24_P932451	4.505687e+001
A_32_P58029	3.692099e+001
A_23_P315451	7.342337e+000
A_23_P358944	1.824961e+003
A_23_P214432	3.121515e+001
A_24_P765923	8.580340e+000
A_23_P68436	5.765510e+003
A_32_P86616	2.616097e+001
A_23_P333683	5.981200e-001
A_24_P247861	-2.183791e+000
A_23_P109001	2.113996e+001
A_23_P30983	1.349631e+000
A_24_P196307	-7.657363e-002
A_23_P137434	8.734706e+003
A_23_P160406	9.428142e+002
A_32_P118568	7.048838e+000
A_23_P373584	-5.237212e+000
A_23_P139123	7.504215e-001
A_23_P106080	3.820132e+003
A_23_P109235	4.923795e+002
A_32_P171793	4.584835e+001
A_23_P109269	2.224040e+002
A_24_P147461	3.443853e+003
A_24_P752362	3.473391e+001
A_24_P284584	1.000456e+001
A_23_P352799	2.952791e+001
A_24_P913096	-2.751680e+000
A_23_P62255	-5.440380e-001
A_24_P936875	2.367405e+002
A_24_P145333	3.448470e+000
A_23_P366426	9.613962e+000
A_32_P823874	-3.959855e+000
A_23_P120845	1.103530e+004
A_24_P289106	6.887118e+002
A_23_P64051	1.727080e+003
A_24_P108401	1.330532e+004
A_23_P105144	1.285905e+001
A_32_P37988	-8.921462e-001
A_24_P350499	-1.614395e+000
A_23_P63696	3.658968e+003
A_24_P63563	4.970818e+002
A_23_P65733	6.811330e+001
A_23_P161998	2.058140e+001
A_23_P27256	1.365017e+002
A_32_P94354	4.880943e+001
A_23_P17739	1.150635e+002
A_23_P395609	3.052839e+001
A_23_P22854	3.978106e+000
A_24_P100613	3.436696e+001
A_32_P6107	4.716981e+000
A_24_P710270	8.420314e+000
A_23_P77192	9.372435e-001
A_24_P307993	8.025923e+000
DarkCorner	-4.654753e+000
DarkCorner	-5.203731e+000
DarkCorner	-1.764721e+000
DarkCorner	-4.005834e+000
DarkCorner	-3.346843e+000
DarkCorner	-4.278253e+000
DarkCorner	-1.872918e+000
DarkCorner	4.998931e-002
DarkCorner	1.370276e+000
DarkCorner	-3.049672e+000
DarkCorner	4.176080e-002
DarkCorner	-3.629896e+000
DarkCorner	-2.206697e+000
DarkCorner	1.750601e+000
DarkCorner	-3.281117e+000
DarkCorner	-2.660921e+000
A_23_P44363	8.282331e+001
A_23_P774	3.771764e+002
A_23_P97296	2.638322e+003
A_23_P109774	4.306385e+002
A_24_P383267	1.591160e+000
A_23_P313560	1.053269e+003
A_23_P64854	2.861580e+003
