Reporter Identifier	VALUE
GE_BrightCorner	1.032694e+005
DarkCorner	3.107406e+001
DarkCorner	5.178588e+002
DarkCorner	1.650237e+001
DarkCorner	1.165734e+001
DarkCorner	7.733752e+000
DarkCorner	3.319595e+000
DarkCorner	1.927116e+001
DarkCorner	-8.433311e-001
DarkCorner	-9.970273e-001
DarkCorner	-1.601523e+000
A_24_P66027	3.425402e+002
A_32_P77178	2.762507e+001
A_23_P212522	3.061780e+003
A_24_P934473	3.227398e+001
A_24_P9671	1.788099e+004
A_32_P29551	1.244429e+002
A_24_P801451	1.328693e+002
A_32_P30710	8.757151e+004
A_32_P89523	4.856704e+001
A_24_P704878	1.081730e+002
A_32_P86028	6.414953e+004
A_24_P470079	3.928171e+001
A_23_P65830	2.054650e+003
A_23_P109143	1.290686e+004
A_24_P595567	1.169437e+001
A_24_P391591	1.291707e+002
A_24_P799245	-1.168780e+000
A_24_P932757	7.068054e+000
A_24_P835500	3.972234e+002
A_23_P54340	6.213793e+001
A_23_P67555	6.479925e+002
A_24_P286412	1.287731e+002
A_24_P229084	1.284817e+001
A_23_P202696	1.175411e+003
A_24_P927716	2.458050e+002
A_23_P124837	1.114935e+002
A_24_P329635	2.023004e+003
AT_D_3	6.491582e+000
A_23_P148439	6.608086e+002
A_23_P137931	7.236897e+000
A_23_P203819	1.008817e+004
A_32_P198868	6.108673e+000
A_24_P687	1.177342e+001
A_23_P253052	1.728303e+003
A_32_P139302	1.036955e+002
A_23_P201647	2.080671e+003
A_24_P350557	6.873417e+000
A_23_P146584	9.499605e+002
A_24_P289607	2.514356e+000
A_32_P54289	1.818848e+002
A_23_P77000	2.476394e+002
A_23_P111020	1.744642e+002
A_32_P103558	2.121594e+003
A_32_P235289	5.438819e+001
A_32_P22191	2.301854e+002
A_24_P253251	4.007008e+003
A_24_P52168	1.529212e+002
A_24_P530900	1.252905e+002
A_23_P391894	3.427107e+001
A_24_P209571	2.362325e+004
A_24_P148907	9.757296e+002
A_24_P6825	1.972334e+001
A_23_P149281	1.411164e+003
A_23_P104098	1.337917e+002
A_24_P151920	2.325361e+002
A_24_P252223	9.575121e+002
A_32_P141065	2.457188e+002
A_23_P217015	1.062574e+003
A_32_P188888	5.618596e+001
A_23_P135381	2.028066e+003
A_23_P151294	1.918199e+001
A_32_P149011	3.089765e+002
A_32_P156549	4.043617e+003
DarkCorner	-7.186279e+000
DarkCorner	2.713738e+000
DarkCorner	3.092705e+000
DarkCorner	1.005481e+001
DarkCorner	3.177874e+000
DarkCorner	-4.339084e+000
DarkCorner	5.448688e+000
DarkCorner	8.820519e+000
DarkCorner	-1.714419e+000
GE_BrightCorner	1.128975e+005
GE_BrightCorner	1.054178e+005
GE_BrightCorner	1.018470e+005
DarkCorner	3.551620e+002
DarkCorner	5.427517e+002
DarkCorner	-9.814998e+000
DarkCorner	-4.921067e-001
DarkCorner	1.428768e+001
DarkCorner	1.181474e+001
DarkCorner	1.024975e+001
DarkCorner	2.212983e+001
DarkCorner	8.765058e+000
A_23_P215419	8.601956e+001
A_23_P145874	9.402592e+001
AT_ssH_TR_5	6.449083e+001
A_23_P127662	9.281112e+001
A_23_P253029	3.651954e+003
A_32_P125233	4.414623e+001
A_24_P298846	9.950895e+002
A_23_P141315	1.227690e+003
A_23_P87351	1.522601e+004
AT_ssH_PC_3	2.719334e+003
A_23_P155677	2.543691e+003
A_24_P938342	6.638152e+000
A_24_P131173	1.795716e+001
A_32_P76091	5.045931e+002
A_24_P50489	2.448369e+004
A_24_P276932	2.121726e+003
A_24_P838448	4.823216e+002
A_23_P337746	9.314629e+001
A_23_P216689	1.041941e+003
A_24_P208897	4.297781e+001
A_24_P42557	2.139687e+001
(+)E1A_r60_3	2.184729e+001
A_23_P93295	3.099952e+001
A_24_P926770	4.730702e+002
A_23_P67355	3.147760e+002
A_23_P48487	1.181989e+002
A_23_P204947	7.363417e+004
A_24_P50738	1.532897e+001
A_24_P624263	4.047232e+001
A_23_P351328	3.928510e+001
A_23_P129829	8.228134e+003
A_23_P142688	7.896674e+002
A_32_P10665	1.438864e+002
A_23_P53015	2.941241e+002
A_23_P56855	3.027799e+001
A_32_P184330	2.998605e+001
A_24_P212086	8.769352e+003
A_24_P373475	5.467184e+000
A_23_P107597	1.029951e+002
ETG02_36680	2.182463e+001
A_24_P394940	3.672489e+001
A_24_P912617	6.577359e+000
A_23_P152107	1.619433e+004
A_23_P97584	1.308987e+004
A_32_P146113	4.055282e+001
(+)E1A_r60_a97	3.713712e+004
A_24_P305467	2.194094e+003
A_23_P426140	4.513998e+002
A_24_P356721	3.783311e+004
A_23_P356755	1.529145e+004
A_23_P379550	1.519463e+003
A_23_P345710	7.375686e+002
A_24_P719096	2.927914e+001
A_24_P343233	1.469528e+003
A_23_P408787	1.012318e+001
A_23_P344655	2.213782e+001
A_23_P350678	1.431940e+001
A_23_P397933	2.039167e+001
A_23_P145024	3.536828e+003
A_24_P104115	5.252592e+002
A_23_P433829	2.424361e+002
A_23_P110846	1.981131e+003
A_24_P910381	9.869526e+001
A_23_P110699	1.119670e+002
DarkCorner	2.484524e+000
DarkCorner	-4.768625e+000
DarkCorner	1.141668e-001
DarkCorner	6.018521e+000
DarkCorner	-2.532379e+000
DarkCorner	-3.663665e+000
DarkCorner	6.086675e+000
DarkCorner	1.352846e-002
DarkCorner	3.367082e+000
DarkCorner	-5.029033e+000
GE_BrightCorner	1.012248e+005
DarkCorner	4.710302e+001
DarkCorner	1.383508e+002
DarkCorner	3.772320e+002
DarkCorner	1.855626e+001
DarkCorner	2.762282e+000
DarkCorner	-3.664788e+000
DarkCorner	-1.027344e-001
DarkCorner	2.114503e+001
DarkCorner	1.263660e+001
DarkCorner	2.150686e+001
A_23_P60811	2.452973e+001
A_23_P112327	1.465213e+001
A_24_P344890	1.011648e+002
A_23_P111381	1.972106e+003
A_23_P48414	1.636076e+002
A_32_P3518	1.488945e+001
A_32_P430743	2.700804e+001
A_24_P405552	8.291694e+002
A_23_P85015	4.414113e+001
A_23_P215604	9.447515e+001
A_23_P369815	1.132502e+002
A_32_P174908	7.600840e+003
A_23_P47155	7.730939e+002
A_23_P66211	1.297164e+002
A_23_P14986	4.064631e+003
A_23_P146783	6.588509e+002
A_24_P236008	1.856624e+003
A_24_P228611	2.157838e+001
A_24_P11900	4.355402e+001
A_23_P419038	2.387894e+002
A_23_P335143	1.377763e+001
A_23_P165078	2.305198e+003
A_23_P104484	1.532271e+001
A_23_P252145	2.026108e+002
A_24_P363134	9.558183e+000
A_23_P315364	1.536175e+002
A_24_P766854	1.015924e+001
A_23_P200425	6.695075e+002
A_32_P93996	6.797644e+001
A_23_P10561	2.392626e+001
A_23_P384825	5.139489e+001
A_32_P136427	7.425927e+002
A_23_P155830	9.018858e+003
RC5	-3.853581e+000
A_32_P230059	5.831721e+003
A_23_P63167	4.390383e+001
A_23_P158461	2.435121e+001
A_23_P75973	3.881923e+002
A_24_P209204	2.573992e+004
A_32_P213091	3.036575e+001
A_24_P119002	3.351894e+002
A_24_P161086	2.296633e+003
A_32_P205913	3.819276e+002
A_23_P337767	3.333054e+002
ETG10_13482	1.774829e+000
A_32_P59010	1.749395e+003
A_23_P427299	6.990099e+001
A_23_P17655	9.594917e+002
A_23_P164100	1.883708e+001
A_23_P31725	1.531137e+001
A_32_P66072	8.492702e+001
A_23_P39454	2.475253e+001
A_23_P67332	1.092105e+003
ETG04_27747	8.379373e+000
A_23_P205646	4.560791e+003
A_24_P157415	2.273254e+003
A_23_P418493	2.727803e+003
A_24_P3415	3.010384e+003
A_32_P136269	1.125557e+001
A_23_P39040	7.482012e+003
A_24_P295620	6.713353e+003
A_32_P146777	2.043672e+002
A_24_P410639	4.420188e+003
A_23_P124384	7.458862e+001
A_23_P125771	1.743803e+002
DarkCorner	2.430189e+000
DarkCorner	-4.907582e-002
DarkCorner	-5.336196e-001
DarkCorner	2.281301e+000
DarkCorner	-6.110984e+000
DarkCorner	-3.564669e+000
DarkCorner	-2.967313e+000
DarkCorner	-3.708750e+000
DarkCorner	1.444384e+001
DarkCorner	3.912232e+001
DarkCorner	1.544225e+002
DarkCorner	2.621439e+002
DarkCorner	-2.932951e+000
DarkCorner	-3.897371e+000
DarkCorner	-4.111680e-001
DarkCorner	-3.400889e+000
DarkCorner	-3.488713e+000
DarkCorner	1.119628e+001
A_23_P93722	1.494701e+002
A_23_P127288	5.046371e+000
A_23_P132294	2.995944e+004
A_24_P830006	1.423668e+002
A_24_P710866	1.686357e+002
A_23_P313640	1.034871e+003
