Reporter Identifier	VALUE
GE_BrightCorner	4.810686e+004
DarkCorner	-2.399771e-001
DarkCorner	5.586398e-001
DarkCorner	-2.589213e+000
DarkCorner	7.536203e-001
DarkCorner	-1.847722e+000
DarkCorner	3.246319e+000
DarkCorner	-2.434872e+000
DarkCorner	2.619593e+000
DarkCorner	1.243927e+000
DarkCorner	1.459750e+000
A_24_P66027	3.304239e+001
A_32_P77178	2.965724e+001
A_23_P212522	1.863048e+003
A_24_P934473	1.416766e+001
A_24_P9671	4.997653e+003
A_32_P29551	3.904895e+001
A_24_P801451	1.045034e+002
A_32_P30710	3.638693e+004
A_32_P89523	1.582358e+001
A_24_P704878	9.314379e+000
A_32_P86028	2.781352e+004
A_24_P470079	2.128889e+001
A_23_P65830	8.725064e+002
A_23_P109143	4.250549e+003
A_24_P595567	-2.944507e+000
A_24_P391591	4.883817e+001
A_24_P799245	-7.230088e+000
A_24_P932757	-7.240070e+000
A_24_P835500	6.092715e+001
A_23_P54340	2.195347e+001
A_23_P67555	2.236352e+002
A_24_P286412	3.734435e+001
A_24_P229084	1.436618e+000
A_23_P202696	5.652453e+002
A_24_P927716	1.153392e+002
A_23_P124837	8.485309e+001
A_24_P329635	7.947870e+002
AT_D_3	6.273243e-001
A_23_P148439	3.013740e+002
A_23_P137931	-1.072943e+000
A_23_P203819	4.300785e+003
A_32_P198868	6.173489e-001
A_24_P687	8.888579e-001
A_23_P253052	6.302124e+002
A_32_P139302	2.069434e+001
A_23_P201647	1.392391e+003
A_24_P350557	-3.544621e+000
A_23_P146584	2.440514e+002
A_24_P289607	-3.370519e+000
A_32_P54289	7.588118e+001
A_23_P77000	9.041820e+001
A_23_P111020	1.037023e+002
A_32_P103558	4.693213e+002
A_32_P235289	1.671859e+001
A_32_P22191	8.998702e+001
A_24_P253251	1.093735e+003
A_24_P52168	6.784395e+001
A_24_P530900	5.253208e+001
A_23_P391894	1.076702e+001
A_24_P209571	1.402365e+004
A_24_P148907	3.219914e+002
A_24_P6825	6.561774e+000
A_23_P149281	4.423195e+002
A_23_P104098	7.558944e+001
A_24_P151920	8.072040e+001
A_24_P252223	6.776483e+002
A_32_P141065	1.285225e+002
A_23_P217015	3.625820e+002
A_32_P188888	3.000224e+001
A_23_P135381	1.067057e+003
A_23_P151294	5.980813e+000
A_32_P149011	8.225595e+001
A_32_P156549	2.286470e+003
DarkCorner	8.426816e+000
DarkCorner	1.821481e-001
DarkCorner	-2.303084e+000
DarkCorner	2.505158e+000
DarkCorner	-1.086807e+000
DarkCorner	-2.504359e+000
DarkCorner	2.349271e+000
DarkCorner	2.085684e+000
DarkCorner	3.853122e+000
GE_BrightCorner	4.281857e+004
GE_BrightCorner	4.351997e+004
GE_BrightCorner	5.077881e+004
DarkCorner	9.294362e-001
DarkCorner	1.436698e+000
DarkCorner	-2.974445e+000
DarkCorner	-1.424170e+000
DarkCorner	6.151483e-001
DarkCorner	-6.390163e-001
DarkCorner	-2.010261e+000
DarkCorner	-3.179060e+000
DarkCorner	-3.306815e+000
A_23_P215419	2.377626e+001
A_23_P145874	2.962264e+000
AT_ssH_TR_5	2.812351e+001
