Reporter Identifier	VALUE
GE_BrightCorner	1.026409e+005
DarkCorner	4.050775e+001
DarkCorner	8.746248e+001
DarkCorner	3.504993e+002
DarkCorner	1.906136e+001
DarkCorner	1.404907e+001
DarkCorner	-4.851175e-001
DarkCorner	3.560046e+002
DarkCorner	1.950543e+001
DarkCorner	5.487072e+001
DarkCorner	2.986787e+001
A_24_P66027	9.073234e+002
A_32_P77178	3.631175e+001
A_23_P212522	3.101319e+003
A_24_P934473	3.953161e+001
A_24_P9671	1.742060e+004
A_32_P29551	1.561067e+002
A_24_P801451	1.386598e+002
A_32_P30710	8.806244e+004
A_32_P89523	4.795918e+001
A_24_P704878	4.443998e+001
A_32_P86028	6.337309e+004
A_24_P470079	6.443994e+001
A_23_P65830	2.045484e+003
A_23_P109143	1.288256e+004
A_24_P595567	4.395719e+001
A_24_P391591	1.314606e+002
A_24_P799245	1.675157e+001
A_24_P932757	1.899148e+001
A_24_P835500	4.087017e+002
A_23_P54340	8.690172e+001
A_23_P67555	6.469476e+002
A_24_P286412	1.056172e+002
A_24_P229084	1.611323e+001
A_23_P202696	1.204444e+003
A_24_P927716	2.291952e+002
A_23_P124837	1.228517e+002
A_24_P329635	2.331024e+003
AT_D_3	2.068631e+001
A_23_P148439	6.942512e+002
A_23_P137931	1.220083e+001
A_23_P203819	9.886543e+003
A_32_P198868	1.538469e+001
A_24_P687	1.148489e+001
A_23_P253052	1.723849e+003
A_32_P139302	1.042630e+002
A_23_P201647	2.056335e+003
A_24_P350557	7.230011e-001
A_23_P146584	8.001282e+002
A_24_P289607	3.442162e+001
A_32_P54289	7.676330e+002
A_23_P77000	2.611408e+002
A_23_P111020	2.109186e+002
A_32_P103558	2.268010e+003
A_32_P235289	5.272188e+001
A_32_P22191	2.314729e+002
A_24_P253251	4.120252e+003
A_24_P52168	1.700119e+002
A_24_P530900	1.236967e+002
A_23_P391894	5.752731e+001
A_24_P209571	2.153019e+004
A_24_P148907	1.355015e+003
A_24_P6825	1.862235e+001
A_23_P149281	1.258457e+003
A_23_P104098	1.374840e+002
A_24_P151920	2.295902e+002
A_24_P252223	1.540891e+003
A_32_P141065	2.673952e+002
A_23_P217015	1.135836e+003
A_32_P188888	5.140067e+001
A_23_P135381	1.949957e+003
A_23_P151294	9.829036e+001
A_32_P149011	6.020490e+002
A_32_P156549	4.138063e+003
DarkCorner	1.995777e+000
DarkCorner	3.124857e-001
DarkCorner	9.748524e+000
DarkCorner	-1.221942e+000
DarkCorner	5.140561e+000
DarkCorner	1.473633e+000
DarkCorner	1.177272e+001
DarkCorner	-6.013715e+000
DarkCorner	1.026538e+000
GE_BrightCorner	1.186950e+005
GE_BrightCorner	6.426093e+004
GE_BrightCorner	1.092907e+005
DarkCorner	5.904370e+002
DarkCorner	1.787722e+002
DarkCorner	2.203193e+001
DarkCorner	1.510169e+001
DarkCorner	5.763388e-001
DarkCorner	2.690769e+002
DarkCorner	4.247556e+002
DarkCorner	7.082595e+001
DarkCorner	-4.632307e+000
A_23_P215419	4.576115e+002
A_23_P145874	8.463930e+001
AT_ssH_TR_5	6.447095e+001
A_23_P127662	1.126492e+002
A_23_P253029	2.867947e+003
A_32_P125233	3.275564e+001
A_24_P298846	1.568792e+003
A_23_P141315	1.232253e+003
A_23_P87351	1.602456e+004
AT_ssH_PC_3	2.804713e+003
A_23_P155677	2.379077e+003
A_24_P938342	1.172396e+001
A_24_P131173	2.755059e+001
A_32_P76091	4.792402e+002
A_24_P50489	2.474964e+004
A_24_P276932	2.056660e+003
A_24_P838448	4.869701e+002
A_23_P337746	1.122382e+002
A_23_P216689	1.037834e+003
A_24_P208897	3.590052e+001
A_24_P42557	3.561116e+001
(+)E1A_r60_3	1.532479e+001
A_23_P93295	4.315053e+001
A_24_P926770	4.553478e+002
A_23_P67355	3.322008e+002
A_23_P48487	1.452717e+002
A_23_P204947	7.346538e+004
A_24_P50738	1.301387e+001
A_24_P624263	5.500917e+001
A_23_P351328	3.766265e+001
A_23_P129829	9.446270e+003
A_23_P142688	7.877329e+002
A_32_P10665	1.425633e+002
A_23_P53015	2.761688e+002
A_23_P56855	3.382103e+001
A_32_P184330	3.179843e+001
A_24_P212086	9.266022e+003
A_24_P373475	-1.018305e+001
A_23_P107597	8.982659e+001
ETG02_36680	6.622094e+002
A_24_P394940	4.278148e+002
A_24_P912617	2.658901e+001
A_23_P152107	1.603236e+004
A_23_P97584	1.232904e+004
A_32_P146113	2.576521e+001
(+)E1A_r60_a97	3.600534e+004
A_24_P305467	2.167372e+003
A_23_P426140	4.297753e+002
A_24_P356721	3.577606e+004
A_23_P356755	1.472230e+004
A_23_P379550	1.399387e+003
A_23_P345710	7.289776e+002
A_24_P719096	2.329986e+001
A_24_P343233	1.430159e+003
A_23_P408787	3.466587e+001
A_23_P344655	9.052553e+001
A_23_P350678	2.072151e+001
A_23_P397933	1.330752e+001
A_23_P145024	3.619988e+003
A_24_P104115	5.889610e+002
A_23_P433829	3.693368e+002
A_23_P110846	2.353523e+003
A_24_P910381	5.003713e+002
A_23_P110699	1.657702e+002
DarkCorner	8.077437e+000
DarkCorner	-7.268312e+000
DarkCorner	9.871491e+000
DarkCorner	4.765132e+000
DarkCorner	4.023854e+000
DarkCorner	6.806390e+000
DarkCorner	8.677757e+000
DarkCorner	6.139968e-001
DarkCorner	-1.817495e+000
DarkCorner	3.805602e+002
GE_BrightCorner	6.132488e+004
DarkCorner	2.846628e+001
DarkCorner	5.280412e+001
DarkCorner	4.890757e+002
DarkCorner	1.999697e+001
DarkCorner	1.960394e+001
DarkCorner	1.740746e+001
DarkCorner	1.214967e+002
DarkCorner	2.911837e+002
DarkCorner	3.697264e+001
DarkCorner	1.446387e+001
A_23_P60811	5.618503e+001
A_23_P112327	3.365201e+002
A_24_P344890	1.230826e+002
A_23_P111381	1.992682e+003
A_23_P48414	1.650686e+002
A_32_P3518	1.720289e+002
A_32_P430743	3.623377e+002
A_24_P405552	1.291661e+003
A_23_P85015	5.374750e+001
A_23_P215604	6.237445e+001
A_23_P369815	7.080393e+001
A_32_P174908	7.824014e+003
A_23_P47155	7.807720e+002
A_23_P66211	1.494230e+002
A_23_P14986	4.302106e+003
A_23_P146783	7.218311e+002
A_24_P236008	1.945631e+003
A_24_P228611	3.523290e+001
A_24_P11900	5.272464e+001
A_23_P419038	2.471313e+002
A_23_P335143	1.943091e+001
A_23_P165078	2.615379e+003
A_23_P104484	2.120306e+001
A_23_P252145	2.107813e+002
A_24_P363134	5.826119e-001
A_23_P315364	1.536475e+002
