Reporter Identifier	VALUE
GE_BrightCorner	6.753028e+004
DarkCorner	-5.197301e+000
DarkCorner	-4.299357e+000
DarkCorner	-2.600312e+000
DarkCorner	2.418660e+000
DarkCorner	4.895927e-002
DarkCorner	-1.282745e+000
DarkCorner	2.556358e+000
DarkCorner	-4.662732e+000
DarkCorner	5.123308e-001
DarkCorner	-3.955887e+000
A_24_P66027	3.997409e+001
A_32_P77178	2.046655e+001
A_23_P212522	1.451550e+003
A_24_P934473	8.757491e+000
A_24_P9671	8.160932e+003
A_32_P29551	7.053055e+001
A_24_P801451	7.499778e+001
A_32_P30710	3.575045e+004
A_32_P89523	2.642332e+001
A_24_P704878	2.604880e+001
A_32_P86028	2.670679e+004
A_24_P470079	2.115384e+001
A_23_P65830	9.795585e+002
A_23_P109143	3.645767e+003
A_24_P595567	6.473911e+000
A_24_P391591	6.938751e+001
A_24_P799245	-1.705046e+000
A_24_P932757	-4.036688e+000
A_24_P835500	1.657206e+002
A_23_P54340	2.513067e+001
A_23_P67555	3.612882e+002
A_24_P286412	4.353508e+001
A_24_P229084	7.606137e+000
A_23_P202696	5.446799e+002
A_24_P927716	1.391538e+002
A_23_P124837	5.100263e+001
A_24_P329635	1.093662e+003
AT_D_3	-1.309056e-001
A_23_P148439	4.967363e+002
A_23_P137931	-3.616841e+000
A_23_P203819	5.583605e+003
A_32_P198868	1.366085e+000
A_24_P687	-4.619298e+000
A_23_P253052	8.720506e+002
A_32_P139302	4.664078e+001
A_23_P201647	1.220176e+003
A_24_P350557	-6.176877e+000
A_23_P146584	3.385846e+002
A_24_P289607	-2.457017e+000
A_32_P54289	9.895953e+001
A_23_P77000	9.828800e+001
A_23_P111020	9.138002e+001
A_32_P103558	6.483445e+002
A_32_P235289	2.940855e+001
A_32_P22191	1.071084e+002
A_24_P253251	1.362254e+003
A_24_P52168	7.807340e+001
A_24_P530900	5.862148e+001
A_23_P391894	1.499594e+001
A_24_P209571	1.173754e+004
A_24_P148907	9.694712e+002
A_24_P6825	6.656583e+000
A_23_P149281	5.968385e+002
A_23_P104098	7.380393e+001
A_24_P151920	1.003976e+002
A_24_P252223	7.189620e+002
A_32_P141065	1.203076e+002
A_23_P217015	4.269684e+002
A_32_P188888	2.798140e+001
A_23_P135381	9.521278e+002
A_23_P151294	-4.194842e-002
A_32_P149011	1.142759e+002
A_32_P156549	2.259207e+003
DarkCorner	-6.087359e+000
DarkCorner	-7.491391e+000
DarkCorner	-8.665121e+000
DarkCorner	-7.534757e+000
DarkCorner	-8.952514e+000
DarkCorner	-6.442344e+000
DarkCorner	-7.264674e+000
DarkCorner	-5.552411e+000
DarkCorner	-6.255443e+000
GE_BrightCorner	7.654934e+004
GE_BrightCorner	7.662668e+004
GE_BrightCorner	7.086566e+004
DarkCorner	3.874300e+000
DarkCorner	-3.752923e+000
DarkCorner	-5.345525e+000
DarkCorner	3.463797e+000
DarkCorner	1.008063e-001
DarkCorner	4.722235e+000
DarkCorner	-8.968976e-001
DarkCorner	-5.055791e-001
DarkCorner	4.318911e-001
A_23_P215419	3.004786e+001
A_23_P145874	2.021312e+001
AT_ssH_TR_5	1.685870e+001
A_23_P127662	4.797539e+001
A_23_P253029	1.529407e+003
A_32_P125233	2.168097e+001
A_24_P298846	4.233037e+002
A_23_P141315	5.102470e+002
A_23_P87351	8.039422e+003
AT_ssH_PC_3	1.066087e+003
A_23_P155677	1.056568e+003
A_24_P938342	-6.900411e+000
A_24_P131173	1.779127e+001
A_32_P76091	1.847482e+002
A_24_P50489	1.198878e+004
A_24_P276932	1.074528e+003
A_24_P838448	1.530203e+002
A_23_P337746	5.899712e+001
A_23_P216689	5.923841e+002
A_24_P208897	6.713743e+000
A_24_P42557	1.188314e+000
(+)E1A_r60_3	5.881296e+000
A_23_P93295	1.121573e+001
A_24_P926770	3.267324e+002
A_23_P67355	1.520765e+002
A_23_P48487	6.102281e+001
A_23_P204947	3.129548e+004
A_24_P50738	3.384364e+000
A_24_P624263	1.503581e+001
A_23_P351328	2.098158e+001
A_23_P129829	5.616780e+003
A_23_P142688	4.224565e+002
A_32_P10665	8.260763e+001
A_23_P53015	1.899829e+002
A_23_P56855	7.548178e+000
A_32_P184330	6.557729e+000
A_24_P212086	2.937906e+003
A_24_P373475	-3.880931e-001
A_23_P107597	3.972840e+001
ETG02_36680	1.925436e+000
A_24_P394940	9.329264e+000
A_24_P912617	1.222365e+000
A_23_P152107	7.316419e+003
A_23_P97584	5.606874e+003
A_32_P146113	1.466513e+001
(+)E1A_r60_a97	1.143317e+004
A_24_P305467	1.049278e+003
A_23_P426140	2.041141e+002
A_24_P356721	1.493461e+004
A_23_P356755	6.323683e+003
A_23_P379550	5.682605e+002
A_23_P345710	3.427027e+002
A_24_P719096	6.383617e+000
A_24_P343233	7.183818e+002
A_23_P408787	-2.570023e+000
A_23_P344655	4.011862e+000
A_23_P350678	2.337049e+000
A_23_P397933	6.879364e+000
A_23_P145024	1.619112e+003
A_24_P104115	1.242348e+002
A_23_P433829	6.909749e+001
A_23_P110846	7.610181e+002
A_24_P910381	1.301155e+001
A_23_P110699	2.466937e+001
DarkCorner	-1.061113e+001
DarkCorner	-1.092945e+001
DarkCorner	-8.277483e+000
DarkCorner	-6.767529e+000
DarkCorner	-8.728054e+000
DarkCorner	-1.081991e+001
DarkCorner	-6.743536e+000
DarkCorner	-8.108735e+000
DarkCorner	-5.010809e+000
DarkCorner	3.709084e+000
GE_BrightCorner	7.282723e+004
DarkCorner	-6.133706e+000
DarkCorner	-7.221176e+000
DarkCorner	-1.945879e+000
DarkCorner	-2.718553e+000
DarkCorner	3.797563e+000
DarkCorner	-5.952339e+000
DarkCorner	-6.095696e+000
DarkCorner	-4.076991e+000
DarkCorner	-1.121473e+001
DarkCorner	-8.863353e+000
A_23_P60811	7.273526e+000
A_23_P112327	9.342760e-001
A_24_P344890	1.923629e+001
A_23_P111381	8.806123e+002
A_23_P48414	9.272164e+001
A_32_P3518	9.089791e+000
A_32_P430743	2.165484e+001
A_24_P405552	2.986397e+002
A_23_P85015	2.965168e+001
A_23_P215604	3.441644e+001
A_23_P369815	3.582600e+001
A_32_P174908	5.206649e+003
A_23_P47155	2.259805e+002
A_23_P66211	7.293489e+001
A_23_P14986	2.578635e+003
A_23_P146783	4.367729e+002
A_24_P236008	7.955103e+002
A_24_P228611	5.459864e+000
A_24_P11900	1.901707e+001
A_23_P419038	1.199200e+002
A_23_P335143	1.195738e+001
A_23_P165078	1.197558e+003
A_23_P104484	9.163352e-001
A_23_P252145	6.435992e+001
A_24_P363134	3.497174e+000
A_23_P315364	4.206031e+002
A_24_P766854	7.819252e-001
A_23_P200425	2.806891e+002
A_32_P93996	2.915974e+001
A_23_P10561	3.301224e+000
A_23_P384825	2.083035e+001
A_32_P136427	3.454966e+002
A_23_P155830	4.659407e+003
RC5	-6.871876e+000
A_32_P230059	7.004219e+003
A_23_P63167	1.029162e+001
A_23_P158461	8.946987e+000
A_23_P75973	1.603913e+002
A_24_P209204	1.459466e+004
A_32_P213091	8.367134e+000
A_24_P119002	1.543910e+002
A_24_P161086	1.149154e+003
A_32_P205913	2.440695e+002
A_23_P337767	1.180467e+002
ETG10_13482	-7.136357e+000
A_32_P59010	5.775454e+002
A_23_P427299	2.211840e+001
A_23_P17655	2.665352e+002
A_23_P164100	-1.916237e+000
A_23_P31725	4.745967e+000
A_32_P66072	4.724529e+001
A_23_P39454	1.112172e+000
A_23_P67332	6.007732e+002
ETG04_27747	-5.682723e+000
A_23_P205646	2.012000e+003
A_24_P157415	9.135054e+002
A_23_P418493	1.316339e+003
A_24_P3415	1.205704e+003
A_32_P136269	-4.589685e-001
A_23_P39040	3.611011e+003
A_24_P295620	3.235396e+003
A_32_P146777	8.465690e+001
A_24_P410639	2.042306e+003
A_23_P124384	1.960198e+001
A_23_P125771	7.939324e+001
DarkCorner	-6.427919e+000
DarkCorner	-7.177351e+000
DarkCorner	-7.783379e+000
DarkCorner	-8.829926e+000
DarkCorner	-9.997630e+000
DarkCorner	-6.829732e+000
DarkCorner	-6.310187e+000
DarkCorner	-6.782457e+000
DarkCorner	1.813659e+001
DarkCorner	-3.281414e+000
DarkCorner	-5.959865e+000
DarkCorner	-1.730946e+000
DarkCorner	-8.857546e+000
DarkCorner	-2.180865e+000
DarkCorner	-3.049878e-001
DarkCorner	4.355746e-001
DarkCorner	5.732995e+000
DarkCorner	1.321921e+000
A_23_P93722	8.352877e+001
A_23_P127288	-2.335014e+000
A_23_P132294	1.874323e+004
A_24_P830006	3.671259e+001
A_24_P710866	1.100642e+002
A_23_P313640	4.502384e+002
A_24_P100368	2.505472e+002
A_32_P105397	2.455473e+002
A_24_P121271	7.224260e+002
A_32_P18838	2.465989e+002
A_23_P163099	9.802984e+001
A_24_P324783	5.914096e+000
A_24_P144183	8.837997e+003
A_23_P8625	1.138714e+001
A_24_P124550	3.553809e+001
A_23_P92842	3.220914e+003
A_23_P7033	2.972163e+003
A_23_P130865	2.262133e+002
A_23_P33809	3.180295e+003
A_23_P367071	8.023905e+001
A_24_P50437	3.318754e+003
A_32_P66674	1.254402e+001
A_24_P214552	2.158714e+001
A_23_P95050	1.591964e+002
A_23_P99452	6.843683e-001
A_23_P98900	2.453852e+002
A_32_P19917	6.073732e+001
A_24_P897997	2.227946e+001
A_23_P107211	3.378046e+002
A_32_P175715	1.138026e+001
A_23_P348138	3.024383e+002
A_24_P489105	2.719875e+001
A_32_P202587	7.342797e+001
A_23_P355075	5.588638e+001
A_32_P93584	2.840250e+001
A_32_P208200	2.153060e+001
A_32_P162416	9.017370e+001
