Reporter Identifier	VALUE
GE_BrightCorner	5.833439e+004
DarkCorner	2.477977e+001
DarkCorner	2.142756e+001
DarkCorner	2.800853e+001
DarkCorner	3.243601e+001
DarkCorner	2.385907e+001
DarkCorner	2.208657e+001
DarkCorner	1.456956e+001
DarkCorner	1.509465e+001
DarkCorner	1.631218e+001
DarkCorner	1.099649e+001
A_24_P66027	5.797403e+001
A_32_P77178	4.158196e+001
A_23_P212522	2.615827e+003
A_24_P934473	3.154367e+001
A_24_P9671	7.923287e+003
A_32_P29551	8.639254e+001
A_24_P801451	1.854377e+002
A_32_P30710	3.871530e+004
A_32_P89523	3.646436e+001
A_24_P704878	2.512078e+001
A_32_P86028	3.630883e+004
A_24_P470079	7.362980e+001
A_23_P65830	1.299760e+003
A_23_P109143	7.293874e+003
A_24_P595567	2.463383e+001
A_24_P391591	1.389010e+002
A_24_P799245	8.412050e+000
A_24_P932757	1.050905e+001
A_24_P835500	1.061626e+002
A_23_P54340	4.493774e+001
A_23_P67555	3.962833e+002
A_24_P286412	4.855323e+001
A_24_P229084	5.885347e+000
A_23_P202696	9.474641e+002
A_24_P927716	2.120720e+002
A_23_P124837	1.545763e+002
A_24_P329635	1.697661e+003
AT_D_3	1.829015e+001
A_23_P148439	4.994271e+002
A_23_P137931	1.450912e+001
A_23_P203819	7.609694e+003
A_32_P198868	1.586205e+001
A_24_P687	1.065568e+001
A_23_P253052	1.245581e+003
A_32_P139302	5.591112e+001
A_23_P201647	2.079863e+003
A_24_P350557	6.159641e+000
A_23_P146584	3.947218e+002
A_24_P289607	1.614299e+001
A_32_P54289	9.963437e+001
A_23_P77000	1.010692e+002
A_23_P111020	1.769818e+002
A_32_P103558	1.100322e+003
A_32_P235289	3.071133e+001
A_32_P22191	1.271108e+002
A_24_P253251	2.463737e+003
A_24_P52168	9.546195e+001
A_24_P530900	8.535220e+001
A_23_P391894	2.259278e+001
A_24_P209571	2.512905e+004
A_24_P148907	5.516054e+002
A_24_P6825	8.617465e+000
A_23_P149281	8.601565e+002
A_23_P104098	9.260353e+001
A_24_P151920	1.836379e+002
A_24_P252223	1.110417e+003
A_32_P141065	1.543620e+002
A_23_P217015	6.486076e+002
A_32_P188888	2.996095e+001
A_23_P135381	1.453814e+003
A_23_P151294	1.110975e+001
A_32_P149011	1.438584e+002
A_32_P156549	3.376713e+003
DarkCorner	5.335016e+000
DarkCorner	1.031592e+001
DarkCorner	1.011932e+001
DarkCorner	5.671243e+000
DarkCorner	4.436672e+000
DarkCorner	3.066832e+000
DarkCorner	4.872887e-001
DarkCorner	3.947124e+000
DarkCorner	6.834294e-001
GE_BrightCorner	6.821032e+004
GE_BrightCorner	6.097200e+004
GE_BrightCorner	6.068201e+004
DarkCorner	2.474651e+001
DarkCorner	2.016677e+001
DarkCorner	2.015605e+001
DarkCorner	2.792386e+001
DarkCorner	2.196539e+001
DarkCorner	2.257614e+001
DarkCorner	1.729043e+001
DarkCorner	1.217879e+001
DarkCorner	9.664160e+000
A_23_P215419	5.182434e+001
A_23_P145874	1.801076e+001
AT_ssH_TR_5	6.471839e+001
A_23_P127662	4.795132e+001
A_23_P253029	2.415176e+003
A_32_P125233	6.319995e+001
A_24_P298846	6.904240e+002
A_23_P141315	7.143920e+002
A_23_P87351	1.124865e+004
AT_ssH_PC_3	1.394582e+003
A_23_P155677	1.797528e+003
A_24_P938342	5.458134e-001
A_24_P131173	2.613421e+001
A_32_P76091	2.945707e+002
A_24_P50489	1.070809e+004
A_24_P276932	2.928721e+003
A_24_P838448	1.413901e+002
A_23_P337746	6.815109e+001
A_23_P216689	6.343571e+002
A_24_P208897	1.064251e+001
A_24_P42557	1.698052e+001
(+)E1A_r60_3	1.517354e+001
A_23_P93295	1.602518e+001
A_24_P926770	8.686125e+002
A_23_P67355	2.958869e+002
A_23_P48487	8.300866e+001
A_23_P204947	3.642701e+004
A_24_P50738	1.721143e+001
A_24_P624263	3.276092e+001
A_23_P351328	2.374187e+001
A_23_P129829	7.039699e+003
A_23_P142688	6.068424e+002
A_32_P10665	8.541997e+001
A_23_P53015	2.250391e+002
A_23_P56855	1.746829e+001
A_32_P184330	1.310914e+001
A_24_P212086	6.214041e+003
A_24_P373475	7.099849e+000
A_23_P107597	1.061700e+002
ETG02_36680	1.286861e+001
A_24_P394940	1.550235e+001
A_24_P912617	4.295611e+000
A_23_P152107	1.089481e+004
A_23_P97584	6.352783e+003
A_32_P146113	2.817937e+001
(+)E1A_r60_a97	2.588156e+004
A_24_P305467	1.575785e+003
A_23_P426140	2.230582e+002
A_24_P356721	2.170303e+004
A_23_P356755	7.344392e+003
A_23_P379550	1.055393e+003
A_23_P345710	5.543875e+002
A_24_P719096	1.111971e+001
A_24_P343233	9.691575e+002
A_23_P408787	2.079370e+001
A_23_P344655	2.363532e+002
A_23_P350678	6.889363e+000
A_23_P397933	6.171310e+000
A_23_P145024	2.462669e+003
A_24_P104115	4.454970e+002
A_23_P433829	1.422129e+002
A_23_P110846	1.217366e+003
A_24_P910381	2.982945e+001
A_23_P110699	5.901206e+001
DarkCorner	5.651012e+000
DarkCorner	7.689412e+000
DarkCorner	-3.312981e+000
DarkCorner	7.110582e+000
DarkCorner	4.130267e+000
DarkCorner	3.482038e+000
DarkCorner	3.387672e+000
DarkCorner	4.503276e+000
DarkCorner	7.237659e-001
DarkCorner	3.920491e+000
GE_BrightCorner	5.885569e+004
DarkCorner	2.499497e+001
DarkCorner	3.421339e+001
DarkCorner	7.941820e+000
DarkCorner	1.737898e+001
DarkCorner	1.446115e+001
DarkCorner	1.673981e+001
DarkCorner	1.076126e+001
DarkCorner	1.316357e+001
DarkCorner	8.213346e+000
DarkCorner	1.289760e+001
A_23_P60811	1.185478e+001
A_23_P112327	1.351276e+001
A_24_P344890	3.193469e+001
A_23_P111381	8.861940e+002
A_23_P48414	9.835342e+001
A_32_P3518	5.283173e+000
A_32_P430743	2.109383e+001
A_24_P405552	4.852526e+002
A_23_P85015	2.770372e+001
A_23_P215604	6.515762e+001
A_23_P369815	5.375061e+001
A_32_P174908	4.973261e+003
A_23_P47155	3.655376e+002
A_23_P66211	9.906594e+001
A_23_P14986	8.449570e+003
A_23_P146783	5.010908e+002
A_24_P236008	1.156500e+003
A_24_P228611	8.867795e+000
A_24_P11900	2.914070e+001
A_23_P419038	2.745647e+002
A_23_P335143	1.358563e+001
A_23_P165078	1.979953e+003
A_23_P104484	-4.336529e-001
A_23_P252145	7.597338e+001
A_24_P363134	1.576276e+001
A_23_P315364	4.205217e+001
A_24_P766854	9.325072e+000
A_23_P200425	3.670448e+002
A_32_P93996	7.580985e+001
A_23_P10561	1.102803e+001
A_23_P384825	2.210962e+001
A_32_P136427	4.699447e+002
A_23_P155830	6.303938e+003
RC5	-1.929382e+000
A_32_P230059	3.788886e+003
A_23_P63167	1.697175e+001
A_23_P158461	1.138157e+001
A_23_P75973	1.437222e+002
A_24_P209204	1.650956e+004
A_32_P213091	7.158365e+000
A_24_P119002	2.076448e+002
A_24_P161086	1.061718e+003
A_32_P205913	4.606473e+002
A_23_P337767	3.077528e+002
ETG10_13482	-3.036945e+000
A_32_P59010	7.023705e+002
A_23_P427299	5.441206e+001
A_23_P17655	3.396309e+002
A_23_P164100	4.968630e+000
A_23_P31725	1.318408e+001
A_32_P66072	6.097541e+001
A_23_P39454	2.436228e+000
A_23_P67332	1.266610e+003
ETG04_27747	3.134304e+001
A_23_P205646	2.775823e+003
A_24_P157415	1.329507e+003
A_23_P418493	2.367200e+003
A_24_P3415	1.375019e+003
A_32_P136269	-3.448530e+000
A_23_P39040	4.817207e+003
A_24_P295620	3.830266e+003
A_32_P146777	1.533044e+002
A_24_P410639	2.503626e+003
A_23_P124384	2.934777e+001
A_23_P125771	2.067807e+002
DarkCorner	3.762305e+000
DarkCorner	-5.121324e+000
DarkCorner	-4.229149e+000
DarkCorner	-1.659342e+000
DarkCorner	5.650782e-001
DarkCorner	-3.305244e+000
DarkCorner	5.959401e-001
DarkCorner	-2.075482e+000
DarkCorner	9.124300e+000
DarkCorner	1.837803e+001
DarkCorner	2.388200e+001
DarkCorner	8.927937e+000
DarkCorner	1.864574e+001
DarkCorner	9.271496e+000
DarkCorner	1.142137e+001
DarkCorner	1.557658e+001
DarkCorner	7.882351e+000
DarkCorner	5.766668e+000
A_23_P93722	1.484276e+002
A_23_P127288	6.548829e+000
A_23_P132294	2.581586e+004
A_24_P830006	3.793429e+001
A_24_P710866	8.756344e+001
A_23_P313640	7.965680e+002
A_24_P100368	3.314565e+002
A_32_P105397	3.506300e+002
A_24_P121271	9.820591e+002
A_32_P18838	3.903810e+002
A_23_P163099	1.441609e+002
A_24_P324783	2.025791e+001
A_24_P144183	1.144530e+004
A_23_P8625	2.002931e+001
A_24_P124550	7.889449e+001
A_23_P92842	4.421630e+003
A_23_P7033	4.281579e+003
A_23_P130865	4.803353e+002
A_23_P33809	3.774856e+003
A_23_P367071	5.566663e+001
A_24_P50437	3.824332e+003
A_32_P66674	1.806869e+001
A_24_P214552	9.451215e+000
A_23_P95050	2.225549e+002
A_23_P99452	9.922152e+000
A_23_P98900	3.438278e+002
A_32_P19917	1.076235e+002
A_24_P897997	2.055386e+001
A_23_P107211	3.961621e+002
A_32_P175715	1.237595e+001
A_23_P348138	4.255079e+002
A_24_P489105	2.887043e+001
A_32_P202587	1.142389e+002
A_23_P355075	7.488144e+001
A_32_P93584	2.008730e+001
A_32_P208200	4.089589e+001
A_32_P162416	9.844459e+001
A_32_P79103	5.146753e+001
A_24_P28657	3.076933e+002
A_23_P99044	8.101374e+001
A_24_P509948	1.201879e+002
A_24_P397204	1.227265e+002
A_23_P28834	2.699302e+003
A_23_P251868	4.407756e+001
A_23_P202156	2.558879e+002
RC1	8.236204e+001
A_24_P289954	6.544895e+000
A_23_P33927	2.033903e+002
A_23_P56798	1.696573e+003
A_23_P327307	1.418795e+002
A_23_P170337	4.166402e+003
A_24_P182586	6.241515e+002
A_23_P416766	6.029309e+000
A_23_P363831	9.643784e+002
A_24_P144625	7.563370e+001
A_24_P913828	2.558762e+002
A_23_P329286	4.625625e+002
A_23_P18913	2.322288e+000
A_23_P420218	6.062649e+001
A_23_P92025	9.498508e+002
A_32_P187234	6.627978e+000
A_32_P204795	5.303852e+001
A_23_P156996	7.879933e+001
A_24_P579439	4.306927e+002
A_32_P89827	9.609366e+001
A_23_P201538	2.481441e+003
A_24_P366535	2.297915e+003
DarkCorner	-2.783347e+000
DarkCorner	-4.406658e+000
DarkCorner	-1.984886e+000
DarkCorner	-5.614223e+000
DarkCorner	1.827908e+000
DarkCorner	1.297263e+000
DarkCorner	-9.665093e-001
DarkCorner	-8.462247e-001
DarkCorner	3.140688e+000
DarkCorner	1.590474e+001
DarkCorner	2.082949e+001
DarkCorner	8.954145e+000
DarkCorner	2.133082e+001
DarkCorner	1.154441e+001
DarkCorner	1.113256e+001
DarkCorner	6.554598e+000
DarkCorner	1.046673e+001
DarkCorner	1.235236e+001
A_23_P113692	2.210662e+001
A_23_P55518	2.816295e+002
A_23_P219176	2.572819e+003
A_24_P263937	9.518929e+002
A_32_P181452	6.918415e+001
A_24_P236956	2.023889e+004
A_24_P33048	2.307039e+002
A_24_P304419	1.061322e+001
A_23_P65930	2.229856e+003
A_23_P74653	3.927582e+003
A_23_P214059	3.164151e+003
A_23_P321959	5.190857e+003
A_23_P127322	1.552390e+001
A_23_P31006	4.911783e+001
A_23_P157669	5.472477e+004
A_24_P29703	6.241361e+002
A_24_P289834	8.473538e+001
A_23_P122052	1.374745e+002
A_23_P120378	1.318480e+001
A_23_P77971	3.152958e+001
A_24_P257022	1.820658e+002
A_23_P61919	1.858485e+000
A_23_P134454	8.959200e+003
A_23_P43765	9.887392e+002
A_32_P210622	1.023765e+000
A_24_P100627	-2.436257e+000
A_23_P16817	3.358752e+003
A_23_P125423	1.101566e+002
A_32_P181593	1.755769e+001
A_23_P257763	9.103826e+001
A_23_P163787	4.539056e+000
A_24_P876152	-1.747449e+000
A_23_P110433	1.811939e+003
A_23_P145016	2.184961e+003
A_23_P94563	2.014153e+001
A_23_P53724	3.805017e+001
A_23_P166848	6.574074e+000
A_32_P64286	-1.232577e+000
A_32_P112881	1.527728e+004
A_23_P96008	1.055451e+003
A_32_P155721	2.095011e+001
A_32_P137632	1.537000e+002
AT_W_5	7.605320e+000
A_23_P97123	8.881163e+002
A_23_P69513	2.101541e+002
A_24_P195205	2.329250e+002
A_24_P914208	1.160304e+003
A_24_P925709	1.549549e+003
A_24_P226755	-1.851382e+000
A_23_P83175	1.315577e+002
A_24_P322426	4.923906e+002
A_24_P522399	3.472469e+000
A_23_P398947	1.169980e+001
A_23_P67661	4.332412e+001
A_24_P23951	2.044985e+003
A_23_P149998	1.003359e+002
A_23_P40433	1.072379e+002
A_23_P11507	5.143630e+002
A_23_P53397	1.959846e+002
A_23_P345799	4.071959e+001
A_23_P25097	2.301546e+003
A_24_P354451	1.683034e+003
A_24_P85590	1.252001e+001
A_23_P155828	1.179681e+004
A_23_P106773	7.273539e+002
A_23_P385835	1.615031e+001
A_23_P76799	8.651047e+002
A_32_P50463	2.816742e+001
DarkCorner	3.162519e+000
DarkCorner	-3.313694e+000
DarkCorner	-3.240335e+000
DarkCorner	-3.386066e+000
DarkCorner	7.576027e-001
DarkCorner	4.925086e-001
DarkCorner	-1.230962e+000
DarkCorner	5.060552e-001
DarkCorner	1.388724e+001
DarkCorner	1.079632e+001
DarkCorner	1.263721e+001
DarkCorner	1.029062e+001
DarkCorner	1.119812e+001
DarkCorner	1.473065e+001
DarkCorner	4.175232e+000
DarkCorner	3.280671e+000
A_23_P52109	7.998670e+000
A_23_P204721	4.348197e+001
A_23_P255076	2.414431e+002
A_24_P921477	4.264524e+002
A_24_P216014	1.046272e+001
A_23_P7201	9.838619e+002
A_32_P132169	1.297075e+003
A_23_P105900	9.938284e+003
A_24_P59506	3.211725e+000
A_23_P402287	5.530477e+002
A_24_P583225	3.911067e+001
A_23_P314726	3.533327e+003
A_24_P241815	1.615918e+003
A_23_P37623	4.789728e+002
A_24_P932451	5.817573e+001
A_32_P58029	5.148620e+001
A_23_P315451	2.547879e+000
A_23_P358944	2.811061e+003
A_23_P214432	4.361117e+001
A_24_P765923	6.876863e+000
A_23_P68436	7.255119e+003
A_32_P86616	4.763217e+001
A_23_P333683	3.642916e+000
A_24_P247861	1.387328e+000
A_23_P109001	5.688819e+001
A_23_P30983	1.180688e+001
A_24_P196307	1.202618e+000
A_23_P137434	1.531357e+004
A_23_P160406	1.703609e+003
A_32_P118568	2.094898e+001
A_23_P373584	3.711039e+000
A_23_P139123	6.707771e+000
A_23_P106080	6.699652e+003
A_23_P109235	9.713142e+002
A_32_P171793	7.009916e+001
A_23_P109269	4.491156e+002
A_24_P147461	5.872016e+003
A_24_P752362	8.620065e+001
A_24_P284584	3.989951e+001
A_23_P352799	3.644316e+001
A_24_P913096	1.369574e+000
A_23_P62255	1.246174e+001
A_24_P936875	3.886832e+002
A_24_P145333	2.843913e+001
