Reporter Identifier	VALUE
GE_BrightCorner	1.214921e+005
DarkCorner	-6.401775e-001
DarkCorner	1.570775e+002
DarkCorner	-2.876085e+000
DarkCorner	-4.124094e+000
DarkCorner	7.383791e-002
DarkCorner	6.033533e+000
DarkCorner	1.291729e+001
DarkCorner	1.533572e+001
DarkCorner	1.259326e+001
DarkCorner	-7.589302e+000
A_24_P66027	2.322646e+002
A_32_P77178	1.196731e+001
A_23_P212522	2.858850e+003
A_24_P934473	2.096581e+001
A_24_P9671	1.527073e+004
A_32_P29551	1.981164e+002
A_24_P801451	1.041891e+002
A_32_P30710	9.178067e+004
A_32_P89523	3.593952e+001
A_24_P704878	6.592588e+001
A_32_P86028	6.762046e+004
A_24_P470079	3.793661e+001
A_23_P65830	1.746579e+003
A_23_P109143	1.094702e+004
A_24_P595567	3.227581e+000
A_24_P391591	9.669503e+001
A_24_P799245	7.111159e-001
A_24_P932757	-3.935341e+000
A_24_P835500	2.225629e+002
A_23_P54340	8.317466e+001
A_23_P67555	4.363782e+002
A_24_P286412	6.868042e+001
A_24_P229084	5.237711e+000
A_23_P202696	9.979016e+002
A_24_P927716	1.791006e+002
A_23_P124837	9.194881e+001
A_24_P329635	1.896279e+003
AT_D_3	-4.138726e+000
A_23_P148439	6.168102e+002
A_23_P137931	-8.728627e+000
A_23_P203819	8.798521e+003
A_32_P198868	-5.738045e+000
A_24_P687	-1.632731e-001
A_23_P253052	1.238529e+003
A_32_P139302	7.343925e+001
A_23_P201647	2.058203e+003
A_24_P350557	-5.449758e+000
A_23_P146584	6.516468e+002
A_24_P289607	-9.298154e+000
A_32_P54289	1.720690e+002
A_23_P77000	2.674893e+002
A_23_P111020	1.754801e+002
A_32_P103558	1.619645e+003
A_32_P235289	3.758662e+001
A_32_P22191	1.815659e+002
A_24_P253251	2.543489e+003
A_24_P52168	1.748073e+002
A_24_P530900	4.875657e+001
A_23_P391894	6.921215e+000
A_24_P209571	1.499220e+004
A_24_P148907	1.620916e+003
A_24_P6825	1.218201e+001
A_23_P149281	8.399279e+002
A_23_P104098	1.294443e+002
A_24_P151920	1.278390e+002
A_24_P252223	9.826802e+002
A_32_P141065	2.629296e+002
A_23_P217015	5.589140e+002
A_32_P188888	4.219102e+001
A_23_P135381	1.532620e+003
A_23_P151294	2.020820e+001
A_32_P149011	2.384567e+002
A_32_P156549	3.120750e+003
DarkCorner	1.435819e+001
DarkCorner	5.323197e+000
DarkCorner	1.769845e+001
DarkCorner	6.410601e+000
DarkCorner	2.269795e+001
